stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,42,0,0,6,1,1,0,6,6,40,0,0,0,0,1
 24-34,0,2.46,0,0.82,0,0,0,0.82,0,0,0,0,0.82,0.82,4.1,0,0,1.64,226.56,0.82,0.82,11.49,0.82,0,0,0.82,7.39,149.4,0,0,0.82,0,0.82
 36-46,0,0,0,7.25,2.42,0,0,0,0,1.61,0,0,0,0,1.61,0,0,0.81,237.67,0,0,4.03,0.81,0,0,2.42,0,140.19,0,0,0.81,0,1.61
 48-58,0,0.57,0,16.07,1.72,0,0,3.44,0,0,0,0,0,1.72,5.74,0,0,1.15,146.32,0.57,0,3.44,0,0,0,1.15,0,47.05,0,0,0.57,0,1.72
 60-70,0,0,0,29.45,2.94,0,1.96,0.98,0,0,0,0.98,0,0,7.85,0,0,0.98,161.95,0,0,0,0,0,0,0,0,28.46,0,0,0,1.96,3.93
 72-82,0,0,0,46.14,1.96,0,0,1.96,0,0.98,0,0,0,0,16.69,0,0.98,0,154.12,0,0.98,0.98,0,0,0,0,0,14.72,0,0,1.96,0,0.98
 84-94,0,1.06,2.12,28.68,0,0,0,8.5,1.06,0,1.06,0,0,0,12.74,0,1.06,1.06,81.78,0,0,3.19,3.19,0,1.06,1.06,0,7.43,1.06,3.19,0,0,1.06
 96-106,0,3.28,1.09,31.69,1.09,1.09,0,10.93,1.09,0,1.09,0,0,0,8.74,0,0,0,79.78,0,0,2.19,1.09,0,0,1.09,0,5.46,1.09,0,0,0,0
108-118,0,1.53,0.77,40.6,0,1.53,0,13.02,0,0,0,0.77,0,0,5.36,0,0,2.3,75.06,0,2.3,1.53,0,0,0,0,0,0.77,0,0,0,0.77,0.77
120,0,0,1.96,23.52,0,0,0,9.8,1.96,0,0,1.96,0,0,5.88,1.96,1.96,5.88,64.67,0,0,3.92,0,0,0,0,0,5.88,0,0,1.96,0,0
