stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0
 14-21,0,0,41,0,0,0,0,2,0,0,0,0,0,0,0,0,51
 24-34,0,1.64,5.75,0,0,0.82,0,9.03,0,0,0,0.82,12.31,0,0,2.46,161.71
 36-46,0,1.61,0,0,0,0,0,2.42,0,0.81,0.81,0,5.64,0,0,0.81,105.54
 48-58,0,0,0,1.15,0,0,0,0.57,2.87,0,0.57,0.57,6.31,0.57,0,1.15,86.64
 60-70,0,0.98,0,0,0.98,0,0,2.94,8.83,0,0.98,0,2.94,0,0,1.96,83.43
 72-82,0,0,0,0,0,0,0,3.93,2.94,0,1.96,0,8.83,0,0,0,158.05
 84-94,0,0,0,1.06,0,0,0,2.12,3.19,0,1.06,0,1.06,1.06,0,0,111.51
 96-106,0,1.09,0,6.56,0,0,1.09,2.19,3.28,0,1.09,0,4.37,0,0,0,121.31
108-118,0,0,0.77,2.3,0,0,0.77,2.3,2.3,0,0,0,3.06,0,0.77,0,88.09
120,0,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,70.55
