stage,epidermis,eye,glial,immune,mesenchyme,muscle,neural,otic,presomitic_mesoderm,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,1.64
 36-46,0,0,0,0,0,0,2.42,0,0,2.42,0
 48-58,0,1.15,0,0,0,0,1.72,0.57,0,0.57,0
 60-70,0,0.98,0.98,0,0,0,6.87,0,0,1.96,0
 72-82,0,0.98,0,0.98,0.98,0,1.96,0.98,0,0,0
 84-94,0,1.06,0,0,0,1.06,2.12,0,0,2.12,0
 96-106,0,0,1.09,1.09,1.09,1.09,2.19,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0.77,0,0,0,0
120,0,0,0,0,0,3.92,1.96,0,0,0,0
