stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,30,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,3,227,0,0,2,0,0,1,2,1,0,3,77,0,0,0,0,0
 24-34,0,0,0,0,53.36,0.82,0,6.57,0,0,0,4.93,0,0.82,0,0.82,0,4.1,0,0,23.8,0.82,0.82,4.93,958.76,0,0.82,9.85,0,0,3.28,0,1.64,0.82,0.82,198.65,0,0,0,0,0
 36-46,0,0,0,0,33.84,0,0,86.21,0,0,0.81,87.82,0,8.06,0,0,0,7.25,0,0,80.57,0.81,0.81,6.45,1670.15,0,0.81,8.86,0.81,0,2.42,0,1.61,0,0,247.34,0,0.81,1.61,0,0.81
 48-58,0.57,0,0.57,0,56.23,0,0,220.91,1.15,0.57,1.72,190.5,0.57,5.74,0.57,0.57,0.57,8.61,0,0.57,115.91,0,1.15,12.62,1560.18,0,0.57,15.49,0,0,9.75,0,1.72,0,0,174.44,0,0,1.72,0,2.3
 60-70,0,0,0,0,78.52,0,0,258.14,0,1.96,2.94,202.19,0,5.89,0,0,0,8.83,0,1.96,120.73,0.98,0,6.87,1347.63,0,0,18.65,0,0.98,8.83,0,1.96,0,0,113.86,0,0,0.98,0,1.96
 72-82,0,0,1.96,0,111.91,3.93,0,228.73,1.96,0.98,6.87,170.81,2.94,0.98,0,0,0.98,26.5,0,0,130.56,1.96,0.98,15.71,1109.28,1.96,2.94,53.99,0,4.91,5.89,0,0.98,0,0,60.86,0.98,0,0.98,1.96,1.96
 84-94,0,0,1.06,0,214.53,2.12,0,217.72,1.06,5.31,6.37,111.51,2.12,1.06,1.06,1.06,1.06,21.24,0,0,81.78,0,0,9.56,605.36,2.12,2.12,61.6,0,1.06,59.47,0,7.43,0,0,37.17,0,0,0,1.06,2.12
 96-106,0,0,0,0,195.62,2.19,1.09,113.66,0,1.09,5.46,134.42,4.37,3.28,4.37,0,1.09,30.6,0,0,75.41,5.46,0,9.84,444.79,1.09,2.19,71.04,0,3.28,15.3,0,6.56,0,0,21.86,1.09,0,3.28,3.28,1.09
108-118,0,0,0,0,110.3,0.77,0.77,111.06,0.77,2.3,1.53,97.28,0,2.3,0,0.77,0,13.02,0.77,0,43.66,0,0.77,14.55,558.39,0,0.77,60.51,0,0,12.26,0,3.83,0,0,6.89,0.77,0,0,0,0
120,0,0,0,1.96,101.91,1.96,0,111.71,0,3.92,0,103.87,0,1.96,1.96,0,0,9.8,0,0,45.08,0,0,3.92,544.82,0,1.96,39.2,0,1.96,15.68,0,3.92,0,0,7.84,0,0,0,0,0
