stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  3-4,118.6,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,85.81,1011.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,24.52,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,2.63,5.26,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,2,6,0,0,1,0,0,0,1,3,0,0,2,0,0,0,1,0,0,0,4,0,0,3,0,68,0,0,1,0,0
 24-34,0,0,0,0.82,3.28,0,0,1.64,0,0,0,0.82,1.64,0.82,0,0,0,0,0,0,0,0,0.82,4.1,0,1.64,0,0,77.16,0,0.82,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,8.86,0,0.81,0,0,41.09,0,0,1.61,0,0.81
 48-58,0,0,0,0.57,2.87,0,0,1.15,0.57,0,0,1.15,0,0,0,0,0,0,0,0.57,1.15,0,0,5.74,0,0,0.57,0,26.97,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,2.94,1.96,0,0.98,3.93,0,0,0,0,0,0,0,1.96,2.94,0,0,3.93,0,0.98,1.96,0,36.32,0,0,0.98,0,0
 72-82,0,0,0.98,0,10.8,0,0,1.96,0,0.98,0,5.89,0,0,1.96,0.98,0,0,0,1.96,4.91,0,0,4.91,0.98,0,2.94,0,30.43,0,0,0,0,0.98
 84-94,0,0,0,0,23.36,1.06,0,1.06,2.12,0,0,8.5,0,0,0,1.06,0,0,0,1.06,7.43,0,0,2.12,0,0,1.06,0,70.09,0,0,2.12,1.06,0
 96-106,0,0,1.09,0,21.86,0,3.28,3.28,2.19,0,0,17.49,0,0,0,0,0,1.09,0,0,3.28,1.09,0,8.74,0,5.46,3.28,0,77.59,0,0,1.09,1.09,0
108-118,0,0,1.53,0,16.85,0,6.89,1.53,1.53,0,1.53,11.49,0,0,0,2.3,2.3,0,1.53,1.53,3.83,0,0,1.53,0,1.53,3.06,0,60.51,0,0,0.77,0,0
120,0,0,0,0,23.52,0,9.8,0,0,0,0,11.76,0,0,0,3.92,0,1.96,0,0,1.96,0,0,3.92,0,0,5.88,0,39.2,0,0,0,0,0
