stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0.82,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81,0.81,0,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,0,0.57,0,0,0,2.3,0,0,0,0,0.57,0.57,0
 60-70,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,4.91,0,0,0,0,0.98,0,0
 72-82,0,0,23.56,0,0.98,0,0,0.98,0,0,1.96,0,0,0,5.89,0,0.98,0,0,0,0,0
 84-94,0,0,5.31,0,1.06,0,1.06,1.06,1.06,0,6.37,0,0,0,4.25,0,0,0,0,0,0,0
 96-106,0,2.19,10.93,0,1.09,0,0,1.09,0,0,0,1.09,0,0,4.37,1.09,0,0,0,0,2.19,0
108-118,0,0.77,7.66,0.77,0,0,0.77,1.53,0,0.77,2.3,0,0.77,0.77,5.36,0,0,0,0,0,0,0
120,0,3.92,15.68,0,1.96,0,0,1.96,0,0,1.96,1.96,0,0,13.72,0,0,3.92,0,0,0,1.96
