stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0.82,0,0,0,0.82,1.64,0,0,33.66,0,0,0,2.46,0,2.46,0,0,3.28,0
 36-46,0,0,0,0,0,8.86,0,0,0,0,0,0,0,1.61,0,0,36.26,0.81,0,0,0,0,9.67,0,0,3.22,0
 48-58,0,0,0,0.57,0,13.2,2.3,0,1.15,0,0,0.57,0,4.59,0,1.72,21.8,0.57,0,0,0,0,7.46,0,0,4.59,0
 60-70,0,0,0,1.96,0,11.78,2.94,0,2.94,0,0,0.98,0,10.8,0.98,0,5.89,0,0.98,0.98,0,0,1.96,0,0,2.94,2.94
 72-82,0,0,0,0,0,11.78,0.98,0,5.89,0,0,0,0,8.83,0,0,7.85,0,0.98,0.98,0.98,0,0,0.98,0.98,2.94,0.98
 84-94,0,0,0,0,1.06,11.68,1.06,2.12,3.19,0,2.12,1.06,0,5.31,1.06,1.06,4.25,0,2.12,0,1.06,0,0,0,0,0,4.25
 96-106,0,0,1.09,1.09,0,16.39,0,0,8.74,0,0,1.09,0,4.37,0,0,3.28,0,3.28,0,1.09,0,0,0,0,0,9.84
108-118,0,0,0,0,0.77,3.83,0,0,3.06,2.3,0,0,0.77,8.43,0,1.53,3.06,0,0.77,0.77,0,0,1.53,0,0,0,2.3
120,0,0,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96
