stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,16,0,0,0,1,0,0,0,0,4,3,23,0,2,0,0
 24-34,0,0,0.82,0,0,6.57,0,0,0,0.82,0,0,4.93,2.46,0,0,0,0,0,7.39,0,0,10.67,59.92,0.82,0.82,0.82,0,0,0,0,0,0,0,29.55,0,4.1,0,3.28
 36-46,0,0,1.61,0,0,9.67,0,2.42,0,1.61,0,0,1.61,0,0,0,0.81,0,2.42,8.06,0,0.81,3.22,94.26,0.81,2.42,0,0,0,0.81,0,0,1.61,0,28.2,0,4.83,0,5.64
 48-58,0,0,2.3,0,0,37.87,2.87,1.15,0.57,8.61,0,0,0.57,6.89,0,0,0.57,0,3.44,12.62,0,1.15,4.02,138.29,0.57,0.57,0,0,0,1.15,0,0,0,0,27.54,0,7.46,0,17.79
 60-70,0,0,2.94,2.94,0,136.43,1.96,0,1.96,20.61,0,0,0.98,3.93,0,0,0,0.98,0,17.67,0.98,0.98,1.96,195.32,0.98,0.98,0,0,0,0,0,0,0.98,0,25.52,0,6.87,0,11.78
 72-82,0.98,0,4.91,0.98,0,210.08,5.89,1.96,1.96,41.23,1.96,0,2.94,11.78,0,2.94,0,0,1.96,29.45,1.96,0,0.98,270.94,0,0,3.93,0,0.98,3.93,0,0,0,0,22.58,0,14.72,2.94,9.82
 84-94,0,0,4.25,1.06,0,133.82,0,4.25,2.12,22.3,1.06,0,4.25,26.55,0,3.19,0,0,5.31,14.87,1.06,6.37,1.06,131.69,0,1.06,1.06,0,0,4.25,1.06,0,2.12,0,15.93,1.06,19.12,0,10.62
 96-106,0,0,4.37,0,0,142.07,6.56,3.28,3.28,31.69,0,0,0,39.34,0,1.09,0,0,3.28,19.67,1.09,2.19,3.28,138.79,2.19,3.28,3.28,0,0,2.19,1.09,0,0,0,8.74,2.19,17.49,3.28,10.93
108-118,0,0.77,3.06,0.77,0.77,136.34,0.77,8.43,0.77,37.53,0.77,0,0.77,26.04,0,4.6,0,0.77,7.66,16.85,1.53,0,1.53,118.72,0,1.53,0,0,0.77,3.83,0,0,1.53,0,3.06,0.77,11.49,0.77,10.72
120,0,0,13.72,3.92,0,88.19,3.92,5.88,0,33.32,0,0,3.92,54.87,1.96,1.96,0,0,0,13.72,0,0,13.72,154.82,0,1.96,1.96,0,1.96,3.92,0,1.96,0,0,1.96,1.96,27.44,0,7.84
