stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,0,1,0,32,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,1.64,1.64,0,0,0.82,228.2,1.64,3.28,0,0,0,1.64,0,0,0,114.92,0,0,0,0
 36-46,0,0,0,0,0,0,4.03,0,0.81,3.22,0,0,0,0,0,0,0,0.81,0,0.81,0,580.08,3.22,3.22,0,0,0,0,0,0,0,171.61,0,0,0,0
 48-58,0,0.57,0,7.46,1.15,0,59.68,0,1.15,9.18,0,0,0.57,0,0,0,0,11.48,0,1.15,2.3,1149.33,1.15,2.3,0,0,0.57,2.3,0,0,0,183.04,0,1.15,0,1.15
 60-70,0,0,0,3.93,0,0,126.62,0,0,36.32,0,0,0,0,0,0,0,24.54,0,0.98,1.96,2126.96,0,4.91,0,0,0,1.96,0,0,0,260.1,0,0.98,0,0
 72-82,0,0.98,0,11.78,2.94,0,230.69,0,2.94,49.08,1.96,0,0.98,0,0.98,0,0,36.32,0.98,1.96,1.96,2041.86,0.98,6.87,1.96,0,0.98,2.94,0.98,0,1.96,158.05,0,0.98,0.98,2.94
 84-94,0,2.12,0,16.99,3.19,0,209.22,0,0,36.11,0,0,2.12,1.06,3.19,1.06,0,22.3,1.06,1.06,3.19,1131.07,0,1.06,1.06,0,1.06,2.12,0,0,0,106.2,2.12,4.25,0,1.06
 96-106,0,1.09,0,16.39,6.56,0,173.76,1.09,0,21.86,1.09,1.09,0,0,1.09,0,0,24.04,1.09,0,1.09,1018.53,0,5.46,0,0,1.09,3.28,0,0,1.09,46.99,0,1.09,0,0
108-118,0,0.77,0,9.96,2.3,1.53,131.75,0,0.77,27.57,0.77,0,0.77,0,0,0,0,20.68,0,0,0.77,1085.37,0,3.83,2.3,0,0,3.83,0,0,0.77,35.23,0,0,0,0
120,0,1.96,0,27.44,0,0,160.7,0,1.96,43.12,0,1.96,3.92,3.92,0,0,3.92,21.56,0,0,3.92,1681.5,1.96,5.88,0,0,0,5.88,0,0,0,60.75,1.96,0,0,0
