stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,3.15,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,6.29,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,3,11,3,0,2,0,0,0,5,2,2,0,0,2,0,0,0,0,2,0,0,6,37,1,0,3,1,0,3,4,4,1,6,25,0,0,2,0,0
 24-34,0,0,6.57,0,0,4.93,0,0.82,0,6.57,1.64,0.82,0.82,0,7.39,0.82,0.82,0,0,6.57,0.82,0,9.03,103.43,1.64,5.75,0.82,0,0,18.88,0,2.46,0.82,2.46,47.61,0,0,7.39,0,0.82
 36-46,0,0,2.42,1.61,0,20.95,0.81,0,0.81,8.06,0,0,0.81,0,2.42,0,0,0.81,0.81,18.53,0,0.81,3.22,168.38,0,12.09,2.42,0,0,15.31,0,4.83,0,0,58.01,0,0,1.61,0,0.81
 48-58,0,0,1.15,0,0,24.67,1.15,0.57,0,15.49,1.15,0,0,0.57,1.15,1.15,0.57,0,0.57,26.4,0.57,0,2.3,153.78,0,4.59,1.15,0,0,12.05,0,1.72,0,0,40.17,0,0.57,6.31,0,2.87
 60-70,0,0,0.98,0,0,68.71,1.96,0,0.98,28.46,0.98,0,0.98,0.98,0.98,0,1.96,0.98,0,30.43,0,0.98,4.91,259.12,0,9.82,2.94,0,1.96,17.67,0,4.91,0,0,69.69,0,0,8.83,0.98,0
 72-82,0,0,4.91,0,0,71.66,0,1.96,4.91,36.32,0,0,4.91,0.98,2.94,0.98,1.96,0,0,51.05,0.98,1.96,5.89,192.41,0,20.61,5.89,0,0.98,17.67,0,2.94,0.98,0,26.5,0.98,2.94,6.87,1.96,0.98
 84-94,0,0,5.31,2.12,1.06,49.92,1.06,0,2.12,16.99,6.37,0,3.19,1.06,2.12,6.37,1.06,1.06,0,37.17,2.12,0,4.25,108.33,0,10.62,5.31,0,0,54.16,0,1.06,2.12,0,20.18,0,2.12,7.43,1.06,1.06
 96-106,0,0,7.65,0,1.09,37.16,2.19,2.19,3.28,24.04,2.19,0,4.37,0,0,4.37,2.19,0,0,20.76,1.09,2.19,3.28,89.61,0,7.65,9.84,0,1.09,20.76,0,2.19,0,0,5.46,1.09,0,12.02,1.09,2.19
108-118,0,0,3.06,2.3,11.49,28.34,0,0,1.53,18.38,3.83,0,1.53,1.53,3.06,3.83,0.77,0.77,0.77,13.02,1.53,0.77,1.53,95.75,0.77,6.13,5.36,0,0,18.38,0,0.77,4.6,0,6.89,0.77,0.77,9.19,0,1.53
120,0,0,3.92,3.92,5.88,21.56,0,0,0,11.76,0,0,1.96,1.96,3.92,5.88,1.96,0,0,11.76,1.96,0,1.96,125.43,0,9.8,5.88,0,0,9.8,0,0,0,0,1.96,0,1.96,5.88,1.96,0
