stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,27,0,0,0,0,0,0,1,0,7,0,2,0,0,1,12,0,0,1,0,1,5,0,0,0,0
 24-34,0,0,11.49,0,0,0.82,0,0,0,0,0,7.39,0,5.75,0.82,0,0,9.85,0,0.82,0,3.28,0,3.28,0,0,0,0
 36-46,0,0,2.42,0,0,1.61,0,0,0.81,0,11.28,2.42,0,9.67,0.81,1.61,0.81,10.47,0,0.81,0,1.61,0,4.03,0,0,0,0
 48-58,0,0,8.61,0.57,0,2.3,0.57,0,0.57,0.57,6.31,3.44,0,6.31,1.72,0.57,0,9.75,1.72,4.02,0,1.15,0,1.15,0,0,0.57,0.57
 60-70,0,0,8.83,0,0,2.94,0,0,0,0,13.74,0.98,0.98,3.93,0.98,0,0,3.93,0,0.98,0,0.98,0,0,0,0,0,0
 72-82,0,0,36.32,0,0,2.94,0.98,0,0.98,0,7.85,3.93,0,8.83,0.98,0,0,9.82,0,6.87,0,0.98,0,0,0,0,0,0
 84-94,0,0,57.35,0,0,0,2.12,0,3.19,0,6.37,2.12,0,2.12,0,0,0,5.31,0,11.68,0,2.12,0,0,0,0,0,0
 96-106,0,0,102.73,0,0,1.09,1.09,0,4.37,0,24.04,12.02,0,5.46,4.37,0,0,6.56,3.28,20.76,0,4.37,0,0,1.09,1.09,1.09,0
108-118,0,0,98.81,1.53,0.77,1.53,1.53,0.77,4.6,1.53,13.79,9.96,0,3.06,1.53,0,0,5.36,0,16.85,0,1.53,0,0,0,0,0,0
120,0,0,52.91,1.96,0,1.96,5.88,0,0,0,25.48,1.96,1.96,1.96,1.96,0,1.96,11.76,0,13.72,0,3.92,0,0,0,1.96,0,0
