stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,15.77,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,1,4,0,0,1,0,0,0,0,0,1,0,0,2,11,1,2,0,0,1,0,0,3,6,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,3.28,0,0,0.82,15.6,0,13.95,0,0,0,0,0,0,2.46,0,0,0.82
 36-46,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,1.61,0,0,0.81,5.64,0,16.11,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,2.87,0,1.72,0,0,0,0,0,0.57,2.3,0,0,0.57,10.33,0,21.8,0,0.57,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,1.96,0,4.91,0,3.93,0,0,0,0,0,0,2.94,0,0,0,19.63,0,14.72,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.89,1.96,4.91,0,0,0,0,0,0,6.87,0,0,0.98,19.63,0,33.38,0,0,0,0,1.96,0,2.94,0,0,0
 84-94,0,0,0,0,0,2.12,0,2.12,0,0,0,0,0,0,5.31,0,0,0,5.31,0,29.74,0,0,1.06,0,0,0,3.19,1.06,0,0
 96-106,0,0,0,1.09,1.09,3.28,0,1.09,1.09,1.09,0,0,2.19,0,3.28,1.09,1.09,0,9.84,0,46.99,0,0,1.09,0,0,0,1.09,0,0,1.09
108-118,0,0,0.77,1.53,0,3.83,0,4.6,0.77,0,0.77,0,0,0,4.6,0,0,0,15.32,0,28.34,0,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,7.84,0,0,0,23.52,1.96,37.24,0,1.96,0,0,0,0,0,0,0,0
