stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,3,16,5,0,8,0,0,0,1,0,0,0,0,0,0,0,1,0,16,0,0,11,218,2,0,1,1,0,2,1,6,2,3,10,41,0,0,0,0,0
 24-34,0,0.82,5.75,1.64,0,4.93,0,0.82,0,0.82,0,0.82,0,0.82,0,0,0,0,0,12.31,0,0,17.24,140.37,0.82,2.46,0,0,0,5.75,0.82,0,0,0,1.64,76.34,0,0,2.46,0,0.82
 36-46,0,0,2.42,0.81,0,8.86,0,0,0,5.64,0,0.81,0,0,0,0,0,0,0,8.86,0,0,0.81,190.94,0,7.25,0,0,0,3.22,0,0,0,2.42,0,127.3,0,0,1.61,0,3.22
 48-58,0,0,2.87,0,0,30.99,0,0.57,1.15,9.75,0.57,0,0,0,0,0,0,0,1.15,17.21,0,0,4.59,181.32,0.57,4.02,1.15,0,0,2.3,0,0,0.57,0,0,96.97,0,0,0.57,0,7.46
 60-70,0,0,6.87,0.98,0,65.76,0,1.96,0.98,12.76,0.98,0,0,0.98,0,0,0,0,0.98,16.69,0,0.98,0.98,252.25,1.96,4.91,0,0,0,3.93,0,0,0.98,0,0,112.88,0,0,0.98,0,2.94
 72-82,0.98,0,14.72,0.98,0,87.37,1.96,0,2.94,13.74,0.98,0,0.98,0.98,0,0.98,0.98,1.96,0,24.54,0,0,1.96,275.85,0,13.74,0,0,0,4.91,0,0,0,0,0,84.42,0,0,0.98,0,1.96
 84-94,0,0,33.99,8.5,0,49.92,1.06,0,1.06,19.12,1.06,0,0,3.19,2.12,0,0,0,0,22.3,1.06,1.06,1.06,174.17,0,4.25,0,0,1.06,8.5,0,0,0,0,0,53.1,0,0,0,0,2.12
 96-106,1.09,0,40.44,5.46,1.09,66.66,1.09,4.37,0,26.23,1.09,0,1.09,1.09,3.28,2.19,0,1.09,0,27.32,2.19,1.09,2.19,199.99,0,10.93,1.09,0,0,8.74,1.09,0,0,0,0,37.16,0,0,2.19,1.09,6.56
108-118,0,0,37.53,1.53,0.77,38.3,0.77,0,0,34.47,2.3,0,0,3.83,4.6,1.53,0,2.3,0,14.55,0,0.77,3.06,170.81,0,3.06,2.3,0,0,2.3,0,0,0,0.77,0,27.57,3.06,0.77,0.77,0.77,0
120,0,0,17.64,1.96,0,47.03,0,0,0,58.79,0,0,1.96,7.84,1.96,0,0,1.96,0,29.4,1.96,0,3.92,305.73,0,7.84,1.96,0,0,3.92,0,0,1.96,0,0,52.91,1.96,0,0,0,0
