stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,9,91,41,0,134,0,2,0,14,3,0,2,0,4,1,0,0,5,45,0,0,37,785,6,3,6,12,0,8,1,100,5,7,214,210,0,0,5,0,1
 24-34,1.64,8.21,22.98,7.39,0,197.83,1.64,1.64,0.82,18.06,3.28,0,0,2.46,8.21,0,1.64,3.28,3.28,73.88,0.82,0.82,32.83,899.66,2.46,6.57,8.21,0,0.82,16.42,0,1.64,0,3.28,57.46,183.05,0,0,16.42,0,4.1
 36-46,0,0,26.59,0.81,0,290.04,4.83,0.81,2.42,39.48,1.61,0,0.81,3.22,2.42,2.42,5.64,4.83,4.83,84.6,1.61,3.22,40.28,1019.98,1.61,7.25,9.67,0,0.81,15.31,0,0,0.81,2.42,1.61,182.89,0,0,8.06,0,4.83
 48-58,0,0.57,11.48,2.87,0,457.32,3.44,1.15,6.31,75.17,5.74,0,2.87,4.59,4.59,3.44,4.02,4.59,1.72,159.52,1.72,4.59,48.2,978.91,1.72,6.31,6.31,0,0,11.48,0,0,2.3,4.02,0,147.47,0,0,16.64,0,4.02
 60-70,0.98,0,28.46,0.98,0,626.21,14.72,1.96,6.87,87.36,14.72,0,4.91,2.94,3.93,0.98,1.96,5.89,1.96,191.4,1.96,8.83,36.32,1104.21,1.96,3.93,6.87,0,0.98,24.54,0,0,4.91,2.94,0,117.78,0,1.96,15.7,0.98,2.94
 72-82,0.98,0,33.38,11.78,1.96,279.77,8.83,2.94,6.87,69.7,10.8,0,4.91,13.74,7.85,1.96,8.83,10.8,0.98,193.39,0.98,6.87,42.21,672.44,3.93,3.93,9.82,0,1.96,18.65,0,0,4.91,0.98,0,30.43,0.98,7.85,13.74,5.89,5.89
 84-94,2.12,1.06,38.23,8.5,3.19,230.46,5.31,6.37,10.62,45.67,23.36,0,1.06,16.99,11.68,7.43,4.25,10.62,2.12,104.08,2.12,6.37,38.23,250.64,2.12,2.12,9.56,0,0,110.45,0,0,6.37,3.19,0,20.18,3.19,4.25,14.87,4.25,1.06
 96-106,1.09,0,64.48,20.76,6.56,177.04,5.46,5.46,9.84,71.04,21.86,1.09,3.28,34.97,18.58,5.46,7.65,5.46,0,144.26,4.37,6.56,83.06,330.04,2.19,5.46,19.67,0,2.19,115.84,0,0,4.37,1.09,0,10.93,6.56,4.37,17.49,6.56,3.28
108-118,0,0,73.53,26.04,17.62,149.36,5.36,6.89,8.43,54.38,25.28,0,1.53,26.04,9.96,2.3,4.6,15.32,2.3,157.02,3.06,3.06,55.15,384.51,4.6,6.89,9.19,0,1.53,111.06,0,0,1.53,0.77,0,11.49,3.83,0.77,19.92,3.06,3.06
120,0,0,117.59,45.08,5.88,166.58,7.84,5.88,5.88,47.03,29.4,0,1.96,37.24,9.8,3.92,11.76,23.52,3.92,143.06,3.92,9.8,103.87,435.07,7.84,9.8,15.68,0,0,135.23,0,0,11.76,0,0,15.68,1.96,1.96,33.32,5.88,1.96
