stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,171.31,2464.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0
  5-6,55.17,919.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,12.26,12.26,0,0,0,0
  7-9,5.26,26.29,0,23.66,0,47.32,0,0,0,13.14,0,0,0,0,0,0,0,0,360.13,21.03,0,0,152.47,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,37.76,3.15,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,0
 24-34,0,0,2.46,0,8.21,0.82,0.82,0,0,0,0,0,0,0,16.42,0,0,0,5.75,13.13,0.82,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0,4.83,0,0,0,0,7.25,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,6.89,0.57,0,0,0.57,0,0,0,1.15,1.72,0,0,1.72,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,12.76,0,0,0,0.98,0,0,0,7.85,12.76,0.98,0,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,4.91,3.93,8.83,0,0.98,0,0,0.98,0,0,3.93,26.5,5.89,0.98,6.87,0.98,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,25.49,3.19,52.04,0,0,0,2.12,0,1.06,0,1.06,6.37,2.12,1.06,2.12,1.06,0,1.06,0,0,0,3.19,0,0
 96-106,0,0,0,0,30.6,1.09,25.14,0,2.19,0,2.19,2.19,0,1.09,1.09,15.3,6.56,0,2.19,0,0,0,0,1.09,0,2.19,1.09,0
108-118,0,0,0,0,44.43,2.3,58.21,0,8.43,0,0.77,1.53,0,0,2.3,15.32,2.3,0,4.6,0,0.77,0,0,1.53,0,14.55,0,0.77
120,0,0,0,0,25.48,0,37.24,0,7.84,0,0,0,0,0,0,11.76,7.84,0,3.92,0,0,1.96,0,0,0,1.96,0,0
