stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,134.06,2.63,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,232,0,2,1,1,0,8,1,2,0,0,1,184,0,0,0,0,5
 24-34,0,0,3.28,4.93,1.64,0,18.88,0,0,0,9.85,0,0,0.82,0,0.82,0,0,0,0,4.93,0,0,4.1,1829.69,0.82,15.6,1.64,0,0,6.57,0,0,0,1.64,1.64,562.29,0,0,1.64,0,22.98
 36-46,0,0,1.61,7.25,1.61,0,41.09,0,0,0,56.4,0.81,0,0.81,0,0,0,0,0,1.61,11.28,0.81,0,5.64,4937.14,0,28.2,0.81,0,0,4.03,0,0,0.81,0.81,0,1067.51,0,0,0.81,0,50.76
 48-58,0,0,0.57,11.48,0,0,175.01,0,1.72,2.3,114.19,0,0,0,1.15,0,0,0,0,0.57,21.8,0,0.57,6.31,4650.69,0.57,11.48,1.15,0,0,4.02,0,0,0.57,0,0,972.03,0,0,1.72,0,22.95
 60-70,0,0,1.96,1.96,0,0,228.69,0,0.98,2.94,110.91,0,0.98,0,0.98,0.98,0,0,0.98,0.98,27.48,0,0,4.91,4462.98,0,9.82,0.98,0,0,2.94,0,0,2.94,0,0,778.35,0,0,0,0,18.65
 72-82,0,0,7.85,14.72,9.82,0,410.33,0.98,0.98,2.94,109.95,0.98,0,1.96,2.94,0,0,0,0,0,68.72,0.98,0.98,2.94,2906.7,0.98,19.63,3.93,0,0,0.98,0,0,0.98,0,0,373.03,0,1.96,4.91,0,10.8
 84-94,0,0,2.12,19.12,2.12,1.06,334.54,1.06,0,1.06,78.59,1.06,0,1.06,0,2.12,2.12,0,1.06,1.06,41.42,1.06,2.12,5.31,1365.78,1.06,11.68,2.12,0,0,5.31,0,0,2.12,0,0,242.14,1.06,0,2.12,1.06,4.25
 96-106,0,0,2.19,16.39,8.74,1.09,257.91,0,1.09,1.09,65.57,0,0,0,3.28,8.74,0,2.19,2.19,1.09,28.41,1.09,0,2.19,1090.66,0,22.95,1.09,0,1.09,7.65,0,0,0,0,0,73.22,0,1.09,0,0,8.74
108-118,0,0,3.06,18.38,2.3,0,173.87,0,0.77,0.77,58.98,1.53,0,0,3.83,4.6,0.77,0,0.77,0,24.51,0.77,0.77,0.77,1498.22,0,16.09,0.77,0,0,1.53,0,0,0.77,0,0,50.55,1.53,0,1.53,0,2.3
120,0,0,0,17.64,0,1.96,156.78,1.96,0,0,48.99,0,0,0,1.96,1.96,0,0,1.96,0,17.64,0,0,1.96,1226.83,5.88,13.72,1.96,0,1.96,1.96,0,0,1.96,0,0,39.2,0,0,3.92,0,0
