stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,0,1,1,1,186,2,28,0,0,0,0
 24-34,0,4.1,2.46,0,0,1.64,0,0,0,0,0.82,0,0.82,0.82,0.82,0,0,0.82,13.95,0.82,32.01,0,0,121.49,0,13.13,0,0,0.82,0.82
 36-46,0.81,1.61,0,0,0,7.25,0,0,0,0,0.81,0,0,3.22,0.81,0,0,0,5.64,0,43.51,0,0,76.54,0,4.03,0,0,0,0
 48-58,0,0,0,0,0,9.75,0,0,0,0.57,1.72,0,0,1.15,2.3,0,0,1.15,9.18,0,48.77,0.57,0,43.04,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,10.8,0,0,0,0,1.96,0,0,1.96,2.94,0,0,0.98,8.83,0,46.13,1.96,0,46.13,0,1.96,0,0,0,0
 72-82,0,0,2.94,0.98,0,6.87,0.98,0,0,1.96,0,0,0,2.94,1.96,0,0,0,12.76,0,125.65,0.98,0,64.79,0,1.96,0,0,0.98,0.98
 84-94,0,6.37,4.25,1.06,0,4.25,0,0,0,4.25,3.19,2.12,0,15.93,2.12,0,0,0,4.25,0,127.44,2.12,0,156.12,0,0,0,0,1.06,0
 96-106,0,14.21,3.28,0,0,7.65,0,1.09,1.09,2.19,1.09,1.09,0,10.93,2.19,0,1.09,0,17.49,1.09,212.01,3.28,0,146.44,0,2.19,1.09,0,1.09,0
108-118,0,14.55,15.32,0,0.77,5.36,0.77,0,0,3.06,0.77,0,0,16.85,6.13,0.77,0,0,7.66,0,137.87,0.77,0,134.81,0,0,2.3,0,0,0
120,0,3.92,11.76,0,0,0,0,0,0,1.96,3.92,0,0,9.8,3.92,0,0,0,1.96,0,94.07,0,0,90.15,0,0,0,1.96,0,0
