stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,0,0,3.28,0,0,0.82,0,0.82,3.28,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.03,2.42,0,0,0,0.81,2.42,0,0,2.42
 48-58,0,0,0.57,0.57,1.15,0,0,0,0,0,0.57,0,2.87,0,0.57,0,0,0,1.15,0,0,0
 60-70,0,0,1.96,0.98,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,1.96
 72-82,0,0,0,0.98,1.96,1.96,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,1.06,0,0,0,0,0,0,0,1.06,0,2.12,0,0,1.06,1.06
 96-106,0,0,2.19,0,2.19,0,1.09,0,0,2.19,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0.77,0,0,0,1.53,0.77,0,0,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
