stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,2.63,0,7.89,0,0,0,0,0,0,0,0
 10-12,3.15,12.59,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,3,86,1,0,0,0,3,0,7,1,0,0,0,4,0,0,0,7,2,1,0,2,0,0,1,2,3,8,0,0,2,0
 24-34,0,0,0.82,37.76,0,8.21,0,0.82,0,0.82,9.85,2.46,0,0,0,0.82,7.39,0,0,12.31,0,7.39,0,0,0,0,0,0,0.82,2.46,0,0,17.24,0
 36-46,0,0,0,0.81,0.81,4.03,0,0,0,0.81,0.81,0,0,0,0,0,14.5,0,0.81,9.67,0,3.22,0,0,0,0,0,0,0,1.61,0,0,11.28,0
 48-58,0,0,0,4.02,0,2.3,1.15,0,0,1.15,0,0,0,0,0,2.3,14.35,0,0.57,4.02,0,2.87,0,0,0,0,0,0,0,0,0,0,17.21,0
 60-70,0,0,0.98,5.89,0,0.98,0.98,0,0.98,0,3.93,1.96,0,0,0,2.94,13.74,0,0,1.96,0,2.94,0,0,0,0,0,0,0,0.98,0,0,20.61,0
 72-82,0,0,1.96,9.82,0.98,1.96,0,0.98,0.98,0,11.78,0,0,0.98,0,9.82,31.41,0,0.98,7.85,0,2.94,0,0,0.98,0,0,0,0,0.98,2.94,0,66.75,4.91
 84-94,0,0,3.19,7.43,2.12,4.25,0,0,0,1.06,16.99,0,0,0,0,7.43,27.61,2.12,1.06,4.25,0,0,0,0,0,0,0,0,0,0,9.56,1.06,37.17,1.06
 96-106,0,0,7.65,20.76,13.11,2.19,1.09,1.09,1.09,1.09,31.69,1.09,3.28,0,1.09,13.11,45.9,0,1.09,7.65,0,3.28,1.09,0,0,4.37,0,0,0,0,18.58,0,88.52,1.09
108-118,0,0,10.72,8.43,3.83,4.6,0.77,0.77,1.53,0,24.51,3.83,1.53,0,0,9.19,26.04,0.77,0.77,9.19,0,2.3,0,0,2.3,1.53,0,0,0,0,23.74,0,43.66,2.3
120,0,0,9.8,11.76,7.84,0,0,0,0,0,23.52,0,0,0,0,5.88,9.8,0,0,5.88,0,3.92,0,0,0,1.96,0,0,0,0,7.84,0,41.16,0
