stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,5,0,0,0,0,0,0,3,0,3,8,2,0,0,0,0,0,0,71,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,0,0,0,0,0,0.82,0,0,72.24,0,0,0.82,0,0,0,0,93.58,0,0,0.82,0,0
 36-46,0,0,0,0,41.09,0,4.83,0,0,0,0.81,0,0,0,0,0,151.47,0,0,0,0,0,0,0,91.85,0,0,3.22,0,0
 48-58,0,0,2.3,0.57,123.94,0.57,6.89,0,0,0,0,0,0,4.59,0,1.15,292.64,0,0,1.15,0,0,0,0,64.84,0,0.57,1.72,0,0.57
 60-70,0,0,0.98,0,219.86,0,18.65,0,0,0,0,0.98,0,9.82,0,0,609.53,0,0,0,0,0,0.98,0,65.76,0,0,2.94,0,2.94
 72-82,0,0,1.96,2.94,244.43,1.96,46.14,0,0,0,0,0.98,0,16.69,0.98,0,667.53,0,0,0,0,0,0.98,0.98,37.3,0,0,4.91,0,0.98
 84-94,0,0,4.25,1.06,145.5,0,22.3,0,0,0,0,0,1.06,6.37,0,0,335.6,0,0,1.06,0,0,0,0,21.24,1.06,0,4.25,0,1.06
 96-106,0,0,4.37,1.09,123.49,0,29.51,0,1.09,3.28,0,0,1.09,8.74,0,0,259,0,0,1.09,0,1.09,5.46,0,16.39,3.28,0,6.56,1.09,0
108-118,0,0,6.13,0.77,94.21,0,28.34,0,0,0,0.77,0.77,0.77,5.36,0,0.77,329.36,0,1.53,0,0,0,1.53,0,12.26,0.77,0,3.06,0,0
120,0,0,3.92,1.96,113.67,0,33.32,1.96,0,3.92,0,0,0,5.88,0,0,366.48,0,0,0,0,0,3.92,0,25.48,0,0,7.84,0,0
