stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,liver,mesenchyme,neural,olfactory,periderm,spinal_cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,4,0,0,1,0
 24-34,0,0.82,0,0,0,0,0,0,22.16,0,0,3.28,0
 36-46,0,0,0,0,2.42,0,0,0,70.09,0,0.81,13.7,0
 48-58,0,0,0.57,0.57,10.9,1.15,0,1.72,98.69,0,0,14.35,0.57
 60-70,0,0,0.98,0,28.46,1.96,0,0,174.71,0.98,0,25.52,0
 72-82,0,0,0,0.98,16.69,0,0,2.94,99.15,0.98,0,12.76,0
 84-94,0,0,1.06,0,20.18,0,0,4.25,52.04,0,0,4.25,0
 96-106,0,0,0,0,16.39,3.28,0,0,31.69,0,0,2.19,0
108-118,0,0,0,0,8.43,0,0.77,0,51.32,0,0,4.6,0
120,0,0,0,0,3.92,0,0,0,64.67,1.96,0,0,0
