stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,17.67,1.96,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,20.18,1.06,0,0,0,1.06,0,0,0,0,0,0,3.19,0,2.12,0,0,0,2.12,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,3.28,6.56,8.74,214.2,19.67,1.09,2.19,0,9.84,3.28,1.09,3.28,4.37,0,0,7.65,0,24.04,0,0,1.09,51.36,1.09,3.28,1.09,1.09,6.56,0,0,4.37,1.09,1.09,5.46,1.09,2.19
108-118,0,0.77,8.43,6.13,519.32,46.72,1.53,2.3,1.53,9.96,3.06,0.77,2.3,2.3,3.06,0.77,7.66,0,26.81,0.77,0.77,3.83,96.51,1.53,2.3,0.77,0.77,14.55,0,0,1.53,0,1.53,4.6,1.53,6.13
120,0,0,13.72,1.96,258.69,43.12,0,1.96,1.96,7.84,3.92,0,3.92,1.96,0,1.96,7.84,1.96,33.32,0,0,1.96,76.43,1.96,1.96,1.96,1.96,11.76,0,0,5.88,0,0,1.96,1.96,1.96
