stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,7.89,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,72.38,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,28,0,4,0,0,0,0,2,2,16,0,0,0,0,0,17,0,3,17,0,0,1,0,0,1,25,1,8,0,0,0,0,0
 24-34,0,0,0.82,0,33.66,0,10.67,0,1.64,0,0,0,0,9.85,0,0,0,0,0,5.75,0.82,1.64,32.01,0,0,3.28,0,0,0,10.67,2.46,13.95,0,0,0,0,0
 36-46,0,0,0.81,0,14.5,0,13.7,1.61,3.22,0,1.61,0,0,7.25,0,0,2.42,0,0,9.67,0.81,2.42,70.9,0,0,1.61,0,0,0,7.25,1.61,21.75,0,0,0,0,0
 48-58,0,0,0,0,9.18,0,41.31,2.3,3.44,0,3.44,0,0,1.15,0,0,1.15,0.57,0,14.92,2.87,4.02,56.23,0.57,0.57,2.3,0,0.57,0,5.74,0.57,24.67,0,0,0,0,0
 60-70,0,0,0,0,6.87,0,49.08,2.94,0.98,0,4.91,0,0,1.96,0.98,0,1.96,0.98,0,20.61,2.94,0.98,93.24,1.96,0,5.89,0,0,0,0.98,0.98,14.72,0,0,0,0,0
 72-82,0,0,1.96,0,10.8,0,80.5,1.96,1.96,0.98,11.78,0,0,1.96,0.98,0,0,4.91,0,48.1,7.85,2.94,75.59,1.96,0.98,11.78,0,0.98,0,5.89,0,18.65,0,0.98,0.98,0.98,0.98
 84-94,0,0,1.06,1.06,13.81,0,83.9,8.5,1.06,1.06,7.43,2.12,0,2.12,2.12,1.06,3.19,1.06,0,35.05,6.37,4.25,39.3,6.37,0,22.3,0,0,0,15.93,0,11.68,0,0,1.06,3.19,0
 96-106,0,0,5.46,0,10.93,0,88.52,1.09,2.19,0,9.84,13.11,0,2.19,3.28,0,7.65,7.65,0,32.79,7.65,1.09,38.25,7.65,0,21.86,0,0,0,17.49,3.28,8.74,1.09,0,0,1.09,2.19
108-118,0,0,1.53,0,22.98,1.53,81.19,6.13,1.53,0,9.19,15.32,0,2.3,1.53,0,8.43,7.66,2.3,24.51,3.83,0.77,34.47,8.43,2.3,22.21,0,0.77,0,15.32,3.83,3.83,0,0.77,0,0.77,0
120,0,0,1.96,0,23.52,0,82.31,3.92,0,0,9.8,23.52,0,5.88,7.84,0,1.96,7.84,0,19.6,1.96,3.92,37.24,9.8,0,27.44,0,1.96,0,9.8,3.92,0,0,0,0,0,0
