stage,epidermis,eye,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,4,0,0
 24-34,0,2.46,0.82,0,0,0.82,0,0,0,1.64,0,0,2.46,0.82,0.82,0,0,2.46,0.82,0
 36-46,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0,10.47,0,0,0,0,1.61,0.81,0
 48-58,0,0.57,0,0,0,0.57,0,0,0.57,0.57,0,0,5.16,0,0,0,0,0,0,0
 60-70,0,4.91,0.98,0.98,0,5.89,0,0,0,0.98,0.98,0,8.83,0,0,0,0,0.98,0,0
 72-82,0,1.96,0,3.93,0,15.71,0,0,0,1.96,0.98,0,2.94,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,14.87,1.06,0,0,2.12,3.19,0,3.19,0,0,0,0,0,0,0
 96-106,0,4.37,0,0,1.09,31.69,0,0,0,4.37,0,0,2.19,0,0,2.19,0,2.19,0,0
108-118,0,2.3,0,1.53,0,33.7,0,0.77,0,0.77,0.77,0,2.3,0,0,0,0,0,0,1.53
120,0,0,0,0,0,39.2,0,0,0,1.96,7.84,1.96,3.92,0,0,0,0,0,0,0
