stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,lateral.line,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 60-70,0,0,0,0,1.96,0,0,7.85,0,0,0.98,0.98,3.93,0,0,0,0
 72-82,0,0,0,0,5.89,0.98,0.98,16.69,1.96,0.98,0.98,0,10.8,0,0,0,0.98
 84-94,0,0,0,0,6.37,0,1.06,21.24,2.12,0,3.19,0,8.5,0,0,0,0
 96-106,0,0,0,1.09,9.84,0,1.09,37.16,5.46,0,2.19,0,17.49,0,1.09,0,0
108-118,0,0,0,1.53,11.49,0.77,0,34.47,0.77,0,1.53,0,17.62,0,0,0.77,0
120,0,0,0,1.96,3.92,0,0,21.56,0,0,0,0,9.8,0,0,0,0
