stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1238.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,864.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,202.28,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,10.51,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,147.21,0,0,0,49.95,47.32,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3.15,0,0,12.59,22.03,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,7,277,1,0,2,0,4,0,0,8,4,0,0,18,0,0,1,0,4,0,1,11,0,9,25,0,302,0,2,5,0,2,8,0,0,0,0
 24-34,0,0,0.82,9.85,214.24,0,0,4.1,0,30.37,0,0,2.46,0.82,0,0.82,39.4,0,10.67,0.82,3.28,18.06,0.82,1.64,70.59,0,32.01,37.76,0,760.11,0,0,2.46,0,0,8.21,0,3.28,0,0
 36-46,0,0,0,0.81,65.26,0,0,4.83,0,20.95,0,0.81,1.61,1.61,0,0,20.14,0,10.47,0,4.03,18.53,0,0,54.79,0.81,22.56,17.72,0,692.07,0,0,0.81,0,0,10.47,0,0.81,0,0.81
 48-58,0,0,0,0,54.51,0,0,11.48,0,34.43,0.57,1.15,1.15,11.48,0,0,8.03,0,10.33,0.57,5.16,15.49,0.57,0.57,35,0,11.48,13.77,0,591.02,0,0,0,0,0,5.16,0,0,0,0
 60-70,0,0,0,0,77.54,0,0,15.7,0,29.45,0.98,0,0,0.98,0,0,14.72,0,11.78,0,4.91,17.67,0,1.96,18.65,0,14.72,11.78,0,469.17,0,0,0.98,0,0,2.94,4.91,0,0,0
 72-82,0,0,0,0,96.2,0,0,13.74,1.96,22.58,0,3.93,10.8,2.94,0,2.94,26.5,0,22.58,0,1.96,25.52,0,0,25.52,0,6.87,26.5,0,378.92,0,0,0.98,0,0,2.94,15.71,0,0,0
 84-94,0,0,0,0,187.98,0,0,13.81,1.06,60.54,0,1.06,21.24,6.37,0,0,31.86,0,21.24,0,1.06,29.74,0,0,6.37,0,22.3,23.36,0,1016.37,0,0,1.06,0,0,2.12,79.65,0,0,0
 96-106,0,0,1.09,0,194.53,2.19,1.09,12.02,0,46.99,0,3.28,46.99,0,2.19,1.09,54.64,0,43.71,0,10.93,33.88,1.09,1.09,30.6,0,31.69,26.23,0,774.83,0,0,0,1.09,0,0,143.16,1.09,0,0
108-118,0,0,0,0,193.79,0,0.77,6.89,0,91.15,0,3.83,57.45,0,0,1.53,58.98,0,25.28,0,4.6,33.7,0,0,19.15,0,30.64,22.98,0,688.6,0,0,3.83,0.77,0,2.3,172.34,0,0.77,0
120,0,0,0,0,121.51,1.96,0,5.88,0,50.95,0,0,33.32,0,0,1.96,37.24,1.96,9.8,1.96,0,21.56,0,1.96,15.68,0,15.68,25.48,0,405.68,0,0,1.96,0,0,0,47.03,0,0,0
