stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,18.88,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,3,2,1,0,0,30,0,0,0,0,0,0,0,0,0,2,0,0,1,21,2,4,5,2,0,0,1,23,1,106,0,0,0,0
 24-34,0,0,0.82,2.46,0.82,0,0.82,0,0,28.73,0,0,0,0,0,0,0,0.82,0,1.64,0,0,1.64,59.1,1.64,28.73,1.64,0,0,0,0,20.52,2.46,98.5,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0.81,0,17.72,0,0,0,0,0,0,0,0,0.81,0,0,0,0,83.79,0,26.59,0,0,0,0,0,6.45,0,67.68,0,0,0,0.81
 48-58,0,0,0,0,0,0,5.16,0,0,21.8,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,85.5,0,17.79,2.87,0,0,0.57,0,4.02,0,39.59,0,0,0,0.57
 60-70,0,0,0,0,0,0,5.89,0,0.98,24.54,0,0,0,0,0.98,0,1.96,0,0,2.94,0,0,0,159.99,0,19.63,2.94,0,0.98,0.98,0,3.93,0,28.46,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,22.58,0,0,40.25,0.98,0,0,0,0,1.96,1.96,0,0,11.78,0,0.98,0.98,225.78,0,36.32,9.82,0,0,0,0,0.98,0,21.6,0,0,0,1.96
 84-94,0,0,0,0,1.06,0,25.49,0,0,28.68,1.06,0,0,1.06,0,1.06,0,0,0,1.06,1.06,0,0,117.89,0,30.8,16.99,0,0,0,0,6.37,0,24.43,1.06,0,0,1.06
 96-106,0,0,2.19,1.09,0,0,14.21,0,0,24.04,0,0,0,1.09,0,0,8.74,2.19,0,3.28,0,0,0,113.66,0,49.18,24.04,0,1.09,1.09,0,9.84,0,17.49,0,1.09,0,1.09
108-118,0,0,0.77,0.77,0.77,0,13.79,0,0,16.09,0.77,0,0,0,0,0,3.06,0,0,3.83,0,0,0,152.43,0,34.47,10.72,0,0.77,0,0,3.06,0,17.62,0,0,2.3,1.53
120,0,0,0,0,11.76,0,7.84,1.96,0,13.72,0,0,0,0,0,0,5.88,0,0,0,0,0,0,146.98,0,15.68,9.8,0,0,0,0,1.96,0,11.76,0,0,0,0
