stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,15.77,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,6.57,0,0,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,1.61,0,0.81,7.25,0.81,0,0.81,0,2.42,0
 48-58,0,0,1.15,0,1.15,0.57,0,0,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,2.94,0.98,0,1.96,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,0,0.98,0.98,0,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,3.19,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,4.37,2.19,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,3.06,0,0,0,2.3,0,0,0,0,0,0
120,0,1.96,1.96,0,0,0,5.88,0,0,0,1.96,1.96,0,1.96,0,0,1.96
