stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,9,0,0,4,0,0,5,0,2,3,7,0,0,0,0,0
 24-34,0,73.06,0,0,3.28,0,9.85,0.82,0.82,0.82,0,0,0,0.82,0,5.75,0,0,4.1,1.64,0,3.28,27.91,4.93,0,0,0,2.46,0,0,1.64,0.82,3.28,7.39,0,0,0.82,0,0
 36-46,0,47.53,0,0,12.09,3.22,7.25,0.81,0.81,0,0,0,0,0.81,0,9.67,0,0,7.25,0,0,1.61,26.59,2.42,1.61,0.81,0,4.83,0,0,3.22,2.42,0.81,5.64,0,0,0,0,0
 48-58,0,46.48,0,0,84.35,1.15,14.35,0,1.72,0.57,1.15,0,0,0,0,8.03,0,0,5.16,1.72,0,2.3,15.49,0,0.57,1.72,0,2.3,0,0,1.72,0.57,0,4.02,0,0,1.15,0,0.57
 60-70,0,73.61,0,0,223.79,0.98,13.74,1.96,9.82,2.94,0,0,0,1.96,0,7.85,0,0,7.85,0,0.98,3.93,36.32,1.96,0,0.98,0,0.98,0,0,4.91,0.98,0,5.89,0.98,0,0,0.98,0
 72-82,0,93.26,0.98,0,239.53,0,27.49,0.98,41.23,1.96,0,0.98,0,2.94,0.98,9.82,0,0,28.47,1.96,1.96,6.87,34.36,0,0,1.96,0,1.96,0,0,8.83,0.98,0,6.87,1.96,0.98,6.87,5.89,0.98
 84-94,1.06,142.31,2.12,0,162.49,2.12,33.99,1.06,22.3,11.68,0,1.06,1.06,3.19,0,20.18,1.06,0,13.81,1.06,0,4.25,27.61,1.06,2.12,1.06,0,10.62,0,0,12.74,0,0,3.19,12.74,0,1.06,5.31,0
 96-106,0,171.58,2.19,0,113.66,4.37,27.32,2.19,41.53,12.02,0,0,0,1.09,0,20.76,1.09,0,15.3,1.09,1.09,3.28,34.97,0,3.28,6.56,0,8.74,0,0,7.65,0,0,5.46,5.46,0,1.09,7.65,1.09
108-118,0,245.87,0.77,0.77,71.23,2.3,59.75,0.77,46.72,21.45,0,0,0,3.06,2.3,16.09,0,0.77,9.19,0.77,0.77,3.06,36.77,0,3.83,0.77,0,9.19,0,0,6.89,2.3,0,0.77,29.11,1.53,3.06,5.36,0
120,0,229.29,1.96,0,66.63,1.96,52.91,0,45.08,5.88,1.96,0,0,1.96,0,9.8,1.96,0,9.8,5.88,1.96,5.88,52.91,0,0,1.96,0,7.84,0,0,13.72,0,0,0,13.72,1.96,0,3.92,0
