stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0.82,0.82,1.64,0,0,0,0,0,1.64,0,0,0,0,4.93,18.06,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,8.86,17.72,0,0.81,0,0,0,0.81,0,0,0,0
 48-58,0,0.57,0,22.38,0,0,0.57,0,0,0,0,0,0,0,18.94,16.64,0,0.57,0,0,0,1.15,0,0,0,0
 60-70,0,0.98,0,114.84,0,0,0.98,0,0,0,0.98,0,0.98,0.98,66.74,25.52,0,0,0,0,0,2.94,0,0,0.98,0
 72-82,0,2.94,0,104.06,0.98,0,2.94,0,0,0,3.93,0,0,0,78.53,44.17,0.98,0.98,0,0,0,6.87,0,0,1.96,0
 84-94,0,2.12,1.06,73.28,0,0,1.06,0,0,0,2.12,0,0,0,49.92,28.68,0,1.06,0,0,0,7.43,1.06,0,2.12,0
 96-106,0,2.19,2.19,231.68,0,0,3.28,0,2.19,0,4.37,1.09,0,0,64.48,49.18,0,2.19,0,1.09,0,1.09,0,1.09,0,0
108-118,0,1.53,0,193.79,0,1.53,4.6,0,0.77,0.77,4.6,0,0,0.77,81.96,36,0,0.77,0,0,0,1.53,0,0.77,0.77,0.77
120,0,5.88,0,341,0,0,5.88,1.96,0,1.96,7.84,1.96,1.96,0,154.82,33.32,0,3.92,3.92,0,0,1.96,0,0,0,0
