stage,epidermis,eye,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0
 14-21,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0
 24-34,0.82,0,0,0,0,1.64,0,0,2.46,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0,2.42,0
 48-58,0,0.57,0,0,0,0.57,0.57,0,2.87,0.57,0,0,0,0,0.57
 60-70,0,1.96,0,0,0,0.98,0,0,3.93,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0,0,0.98,1.96,0,0.98,0,0,0,0
 84-94,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,3.28,0,0,0,0,0,0
108-118,0.77,0.77,0.77,0,0.77,0,0,0,1.53,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
