stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,70,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,61,0,3,0,0,0,32,1,0,0,0,54,0,0,0,0,0
 24-34,0,1.64,0,180.59,0,11.49,0.82,13.95,0,1.64,0.82,0,0.82,0,1.64,0,2.46,0,0,13.95,4.1,0,4.1,900.48,0,28.73,0,0,0,251.18,0.82,0,0,0.82,261.03,0,0,2.46,0,0
 36-46,0,1.61,0,93.46,0,45.12,5.64,18.53,0.81,7.25,0,0,2.42,0.81,0.81,0,0,0.81,0,6.45,3.22,2.42,2.42,2388,0,26.59,0,0,0,206.25,0,0,0,0,447.15,0,0,1.61,0,0.81
 48-58,0,0,0,54.51,0,246.74,10.9,12.62,0,25.82,0,0,0,0,0,0.57,2.3,0.57,0,20.08,0.57,0,2.87,2862.14,0,23.53,2.3,0,0,103.28,0,0,0,0,461.34,0,0,0.57,0,1.15
 60-70,0,1.96,0,90.3,1.96,486.83,12.76,19.63,0,29.45,0,0,0,0.98,1.96,0,1.96,0.98,0.98,20.61,0,1.96,3.93,3404.9,0.98,13.74,1.96,0,0,206.12,0,1.96,0,0,482.91,0.98,2.94,0.98,0.98,0.98
 72-82,0,1.96,0,32.39,1.96,421.13,2.94,12.76,2.94,55.95,0.98,0,0,0,0,0,2.94,0,0,35.34,1.96,3.93,1.96,2559.19,0.98,29.45,3.93,0,0,105.04,0,0.98,0.98,0,243.45,1.96,4.91,0.98,2.94,6.87
 84-94,0,2.12,0,50.98,2.12,349.41,1.06,11.68,3.19,50.98,0,1.06,2.12,3.19,5.31,1.06,3.19,0,0,38.23,4.25,3.19,4.25,1337.11,0,19.12,8.5,0,0,238.96,0,0,2.12,0,161.43,0,4.25,0,5.31,1.06
 96-106,0,1.09,0,27.32,3.28,218.57,0,7.65,1.09,46.99,1.09,0,0,2.19,1.09,1.09,7.65,2.19,1.09,28.41,3.28,1.09,3.28,991.21,0,26.23,1.09,0,1.09,131.14,0,0,1.09,0,61.2,2.19,4.37,1.09,4.37,1.09
108-118,0,0.77,0,43.66,2.3,163.92,0.77,9.96,0,32.94,2.3,0,0.77,0.77,4.6,0,0.77,0.77,0,22.98,1.53,1.53,2.3,1050.14,0.77,21.45,6.89,0,0.77,114.89,0,0,0.77,0,38.3,1.53,3.06,1.53,4.6,0
120,0,0,0,62.71,1.96,207.74,3.92,27.44,0,62.71,7.84,0,1.96,1.96,5.88,1.96,9.8,0,0,41.16,3.92,3.92,3.92,1454.16,0,19.6,5.88,0,1.96,178.34,0,3.92,1.96,0,62.71,1.96,0,5.88,7.84,0
