stage,blastomeres,epidermis,eye,glial,heart,ionocyte,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,6.29
 14-21,0,0,0,0,0,17,3,0,4,1,0,0
 24-34,0,0,0,0,0,37.76,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.44,1.15,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,6.87,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,9.56,5.31,0,0,0,0,0
 96-106,0,0,0,0,0,6.56,8.74,0,0,2.19,0,0
108-118,0,2.3,0,0,0.77,6.89,1.53,0,0,0.77,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,0
