stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,9.44,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,32,5,0,4,0,0,0,3,0,1,0,0,0,0,0,0,6,0,0,6,30,1,0,1,3,0,2,2,0,2,20,0,0,2,0,1
 24-34,0,0.82,3.28,19.7,0.82,0,5.75,1.64,0.82,2.46,0.82,0,0,0,0,0,0,0,0,17.24,0,0,10.67,42.68,0,0.82,0.82,0,0.82,8.21,1.64,2.46,1.64,13.95,0,0,4.93,0,0
 36-46,0,0,0,6.45,0,0,2.42,0,1.61,0.81,0.81,0,0,0,0,0,1.61,0,0.81,6.45,0,0,4.03,15.31,0,0,0.81,0,0,4.03,0,0.81,0,2.42,0,0,1.61,0,2.42
 48-58,0,0,0,4.02,0.57,0,3.44,1.15,1.15,2.87,0,0,0.57,0,0.57,0,0,0,0,7.46,0,0.57,1.72,8.03,0,0,0,0,0,3.44,0,0.57,0,2.3,0,0,2.3,0,1.15
 60-70,0,0,0,7.85,0,0,0.98,1.96,1.96,8.83,0,0.98,0,0.98,0.98,0,0.98,0,0,26.5,0,0,5.89,4.91,0,0,0.98,0,0,3.93,0,0.98,0,0.98,0,0.98,0.98,0,2.94
 72-82,0,0.98,0,15.71,0,0,7.85,2.94,5.89,14.72,2.94,0,0.98,1.96,0.98,0.98,3.93,0.98,0,57.92,0,5.89,7.85,25.52,0,0,3.93,0,0.98,11.78,0,0.98,0,2.94,0,2.94,2.94,2.94,0.98
 84-94,0,0,0,29.74,0,0,5.31,3.19,2.12,7.43,1.06,1.06,1.06,0,0,1.06,2.12,0,3.19,32.92,1.06,1.06,2.12,8.5,0,0,2.12,0,1.06,25.49,0,0,0,2.12,1.06,0,1.06,3.19,1.06
 96-106,0,2.19,0,48.09,1.09,1.09,5.46,1.09,8.74,12.02,7.65,0,2.19,2.19,2.19,4.37,4.37,1.09,0,40.44,1.09,2.19,6.56,20.76,0,4.37,2.19,0,4.37,27.32,0,1.09,0,2.19,2.19,2.19,3.28,2.19,7.65
108-118,0,0,0.77,39.06,0,0.77,4.6,8.43,5.36,4.6,4.6,0,0.77,1.53,2.3,3.83,1.53,1.53,1.53,42.89,0.77,3.06,4.6,18.38,0.77,0.77,1.53,0,1.53,19.15,0,0,0,1.53,0.77,3.06,3.83,2.3,2.3
120,0,0,0,33.32,0,0,1.96,5.88,5.88,0,3.92,0,1.96,3.92,1.96,3.92,1.96,1.96,0,43.12,1.96,0,3.92,7.84,1.96,0,0,0,0,50.95,0,0,0,0,1.96,0,5.88,0,3.92
