stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,4,0,0,0,0,0,1
 24-34,0,0,0,1.64,69.77,0,0,1.64,0.82,0,1.64,0,0,0,0,0,0,1.64,0,0,13.95,28.73,0,0,0,0,0.82,0,55,27.09,4.1,0,0,1.64,0,0
 36-46,0,0,0,5.64,136.16,0,0,0.81,0,0,0.81,0,0,0,0,0,0,3.22,0,0,8.86,24.98,1.61,0.81,0,0,0.81,0,42.7,0.81,6.45,0,0,0,0,0
 48-58,2.87,0,0,38.44,225.51,0,1.15,10.33,0.57,0,0,0.57,0,0.57,0.57,0.57,2.3,20.08,0.57,1.15,12.05,107.88,0,1.15,0.57,0,0.57,0,67.14,0,28.69,0,0,1.72,0,1.15
 60-70,0.98,0,0,46.13,157.04,1.96,0,4.91,0,0.98,0,0,0,0,0,0,1.96,20.61,0.98,0,14.72,105.02,0,0,0.98,0,1.96,0,42.21,0,17.67,0,0,0.98,0,0.98
 72-82,1.96,1.96,0,33.38,58.9,0,0,7.85,0.98,0,0,0.98,0,0,0.98,0.98,0,33.38,0,0,5.89,62.83,0,0.98,0,0.98,1.96,0,19.63,0,9.82,0,0,0.98,0,0
 84-94,5.31,1.06,0,21.24,62.66,0,2.12,4.25,1.06,0,0,1.06,2.12,0,0,0,1.06,18.05,0,1.06,10.62,35.05,0,0,2.12,0,5.31,0,20.18,0,2.12,1.06,1.06,2.12,1.06,1.06
 96-106,4.37,2.19,0,25.14,115.84,0,4.37,9.84,0,0,0,1.09,1.09,0,0,1.09,1.09,30.6,1.09,4.37,8.74,33.88,0,2.19,0,0,8.74,1.09,33.88,0,3.28,2.19,2.19,1.09,2.19,0
108-118,2.3,0,0.77,12.26,29.87,0,0.77,1.53,0.77,0,0,0,0,0,0,2.3,0,12.26,0,0,4.6,19.92,0.77,0,0,0.77,4.6,0.77,9.19,0,0,0,0.77,0.77,0.77,1.53
120,0,3.92,0,0,43.12,0,0,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,5.88,21.56,0,0,0,0,1.96,0,3.92,0,3.92,0,1.96,0,0,0
