stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,25,1,0,0,0,0,0,1,1,4,0,0,0,0,0,12,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,70,0,0,1,0,0
 24-34,0,1.64,7.39,11.49,0,0,0.82,0,0,0,0,4.93,8.21,0,1.64,0.82,0,0,16.42,0,1.64,2.46,0.82,0,11.49,0,0,0,0,0.82,0,0,0,0.82,88.65,0,0,0.82,0,0
 36-46,0,0.81,1.61,5.64,0.81,0,3.22,0,0,0,0,12.09,0,0,8.06,0.81,0,0,11.28,0,0.81,1.61,0.81,0,12.89,0.81,0,0,0,0,0,0,0,0,53.17,0,0,4.03,0,0
 48-58,0,1.72,5.16,8.03,0,0,2.3,0,0,0,2.3,45.9,0,0.57,22.38,0,0,0,22.38,0.57,4.02,1.15,0,0.57,13.2,0.57,0,0,0,1.72,0.57,0,0,0,60.82,0,0,0,0,0.57
 60-70,0,4.91,0.98,7.85,0.98,1.96,15.7,0,0,0,2.94,112.88,0.98,0,31.41,0.98,0,0,45.15,0,7.85,0,0.98,0,22.58,0,0.98,0,0.98,1.96,0,0,0,0,38.28,0,0,6.87,0,0
 72-82,0,46.14,0.98,16.69,3.93,15.71,55.95,0,0.98,1.96,16.69,291.55,0,1.96,58.9,0,3.93,0,151.18,0,40.25,1.96,3.93,3.93,199.28,0,1.96,0.98,0,8.83,0,0,0,0,51.05,1.96,3.93,21.6,0.98,2.94
 84-94,0,50.98,10.62,45.67,13.81,28.68,61.6,1.06,5.31,1.06,16.99,584.12,1.06,1.06,110.45,1.06,4.25,2.12,507.65,1.06,36.11,2.12,2.12,4.25,140.19,1.06,0,3.19,0,30.8,1.06,1.06,0,0,48.85,4.25,3.19,26.55,0,3.19
 96-106,0,56.83,17.49,67.76,55.74,32.79,146.44,4.37,7.65,9.84,64.48,757.34,0,4.37,137.7,8.74,6.56,5.46,772.64,3.28,147.53,8.74,6.56,17.49,462.27,2.19,13.11,18.58,1.09,92.89,0,2.19,1.09,0,63.39,7.65,5.46,41.53,9.84,14.21
108-118,0,39.83,21.45,58.98,14.55,32.17,113.36,3.06,15.32,7.66,40.6,814.22,0,0.77,115.66,4.6,3.83,0.77,1518.9,3.06,113.36,7.66,8.43,13.02,374.56,2.3,5.36,9.96,1.53,49.79,0,4.6,1.53,0,26.81,9.19,1.53,29.87,6.13,6.13
120,0,43.12,7.84,41.16,11.76,7.84,96.03,1.96,1.96,1.96,33.32,591.86,0,1.96,115.63,3.92,1.96,5.88,830.95,0,52.91,3.92,5.88,11.76,305.73,0,5.88,7.84,0,35.28,0,5.88,1.96,0,23.52,5.88,3.92,15.68,0,7.84
