stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,342.63,4256.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,300.35,5173.41,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,140.98,18.39,0,0,12.26,0,110.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,110.41,107.78,0,205.04,0,2.63,336.48,0,0,0,0,0,123.55,0,0,0,0,0,0,0,0,0,0,0,3080.85,110.41,0,0,1056.74,0,2.63,34.17,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,88.12,0,138.47,0,12.59,311.55,0,0,0,0,0,34.62,0,0,0,0,0,3.15,0,0,0,0,0,2489.25,97.56,0,0,953.53,0,6.29,25.18,9.44,100.7,0,9.44,6.29,0,0,0,0,0
 14-21,0,0,4,13,178,27,108,0,1,0,30,10,1,2,0,5,1,1,3,1,83,0,0,58,1346,25,6,17,45,0,10,6,184,9,12,188,449,0,0,6,0,0
 24-34,0,0,0.82,3.28,44.33,5.75,226.56,0,1.64,4.1,34.48,0.82,0.82,2.46,1.64,4.1,1.64,4.93,1.64,1.64,147.75,1.64,0,54.18,2065.27,13.13,18.88,16.42,0,0,37.76,1.64,1.64,8.21,2.46,36.94,508.93,0,0,15.6,0,4.93
 36-46,0,0,0,0.81,15.31,3.22,447.95,1.61,1.61,4.83,63.65,0.81,0,1.61,2.42,2.42,2.42,0.81,2.42,3.22,157.11,0,2.42,36.26,2131,8.06,12.09,10.47,0,0,24.17,1.61,0,3.22,1.61,0.81,523.69,0,0,12.09,0.81,2.42
 48-58,0.57,0.57,0.57,0,16.64,1.72,646.1,1.72,1.15,9.18,102.71,1.72,0,2.3,1.72,0.57,2.3,2.87,1.15,2.87,197.39,0.57,8.03,38.44,1549.27,2.87,7.46,6.89,0,0.57,9.75,0,0,0.57,0.57,0,348.87,0,1.15,13.77,0,5.16
 60-70,0,0,1.96,0,18.65,5.89,741.05,2.94,2.94,4.91,108.95,3.93,0,0.98,2.94,0.98,0.98,2.94,0,0.98,201.21,1.96,13.74,23.56,1350.57,1.96,7.85,1.96,0,0,21.59,0,0,2.94,2.94,0,196.3,1.96,1.96,10.8,0,4.91
 72-82,0,0,4.91,0.98,20.61,14.72,494.76,4.91,0,15.71,130.56,7.85,0,1.96,4.91,3.93,0.98,4.91,1.96,0.98,286.65,4.91,7.85,24.54,974.79,2.94,12.76,8.83,0,0.98,16.69,0,0,0,0,0,111.91,5.89,3.93,19.63,5.89,2.94
 84-94,0,0,4.25,0,48.85,24.43,351.53,3.19,10.62,5.31,90.27,14.87,0,2.12,7.43,10.62,9.56,6.37,2.12,1.06,192.23,2.12,13.81,22.3,483.23,3.19,12.74,15.93,0,2.12,57.35,0,0,3.19,0,0,56.29,1.06,4.25,16.99,3.19,6.37
 96-106,0,0,1.09,1.09,55.74,16.39,237.15,1.09,4.37,8.74,102.73,13.11,0,4.37,14.21,16.39,6.56,9.84,6.56,3.28,178.13,3.28,5.46,19.67,457.9,7.65,9.84,25.14,0,3.28,37.16,0,0,5.46,0,0,26.23,4.37,4.37,24.04,9.84,5.46
108-118,0,0,1.53,0,40.6,10.72,214.47,2.3,9.96,3.06,74.3,9.96,0,2.3,13.02,3.06,10.72,5.36,1.53,0.77,136.34,1.53,4.6,29.87,560.68,5.36,15.32,15.32,0,2.3,40.6,0,0,3.06,4.6,0,15.32,3.83,1.53,22.98,3.83,6.13
120,1.96,0,1.96,1.96,52.91,11.76,152.86,1.96,5.88,7.84,54.87,1.96,1.96,1.96,13.72,5.88,3.92,5.88,3.92,0,107.79,1.96,9.8,21.56,405.68,7.84,5.88,13.72,0,1.96,45.08,0,0,5.88,3.92,0,17.64,5.88,3.92,23.52,1.96,0
