stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
 14-21,0,2,0,0,0,0,0,0,0,2,0,0,1,0,3,2
 24-34,0,1.64,0,0,0,0.82,0,0.82,0,25.45,0.82,0,0,0,11.49,17.24
 36-46,0,0,1.61,0,0,0,0,3.22,0,63.65,0,0,0,0,18.53,4.83
 48-58,0.57,0,6.31,0,1.72,0,0,8.03,0.57,64.84,0,0,0,0,18.94,4.59
 60-70,0,0,9.82,0,2.94,0,0.98,6.87,0,137.41,1.96,0,0,0,17.67,2.94
 72-82,0,0,24.54,0,1.96,0.98,0,20.61,0,107.98,0,0,0,0,2.94,6.87
 84-94,1.06,0,16.99,1.06,0,1.06,1.06,14.87,0,60.54,1.06,0,0,0,5.31,2.12
 96-106,1.09,0,13.11,1.09,5.46,0,0,22.95,0,40.44,1.09,0,0,1.09,2.19,3.28
108-118,1.53,0,9.19,0,1.53,0,0,17.62,0,55.15,1.53,0.77,0,0.77,0.77,7.66
120,0,0,9.8,0,0,0,0,13.72,1.96,58.79,0,0,0,0,0,9.8
