stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0.82,12.31,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.09,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,1.72,0,40.17,0,0,0,0.57,0,0,0,0,0.57,0,0.57,0,0,0,0,1.15,17.21,0,0,0,0,0,0,0,0,4.59,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,597.75,0,0,0,1.96,0,0,0.98,0,0,0,0,0,2.94,0,0,0,20.61,0,0,0,0,0,2.94,0.98,0,2.94,0,0,0,0,0
 72-82,0,0,0,5.89,1.96,1066.08,0,0,2.94,3.93,0.98,0,0,0,0,0.98,0.98,0,7.85,0.98,0,0.98,25.52,0,0.98,2.94,0,0,0,0,0,1.96,0,0,0.98,0,0
 84-94,0,0,0,9.56,0,1126.82,0,1.06,0,5.31,0,0,0,1.06,0,0,1.06,0,7.43,1.06,1.06,0,22.3,0,0,1.06,0,0,3.19,0,0,2.12,0,0,1.06,1.06,0
 96-106,0,0,0,10.93,1.09,856.79,1.09,0,2.19,14.21,0,0,1.09,0,1.09,4.37,1.09,0,21.86,0,0,4.37,22.95,1.09,1.09,3.28,0,0,2.19,2.19,1.09,1.09,0,0,4.37,0,2.19
108-118,0,0,0,2.3,0,597.45,0,1.53,0,2.3,0,0,0.77,0,0,0,0.77,0,8.43,0,0,0.77,23.74,0,0,0,0,0.77,0.77,0,0,0,0.77,0.77,0.77,0,0
120,0,0,0,3.92,3.92,631.05,0,5.88,0,5.88,0,0,0,1.96,0,0,0,0,1.96,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,3.92,1.96,0,0
