stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,116.46,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,15.77,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,1.64,1.64,0,0,9.03,0,1.64,0,0,0
 36-46,0,0,0,0.81,0,0.81,0.81,0,0,0,0.81,0,0,0,0,0,2.42,5.64,0,0,10.47,1.61,3.22,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,1.15,0.57,0,0.57,2.87,0,0,8.03,0,0,0,0,0
 60-70,0,0,0,3.93,0,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,7.85,0,0,63.8,0,0.98,0,0,0
 72-82,0,0,0,1.96,0.98,1.96,0.98,0.98,0,0.98,0,5.89,0,0.98,0.98,0.98,3.93,4.91,0,0,49.08,0,0,0,0,0
 84-94,0,0,0,5.31,1.06,0,1.06,0,0,1.06,0,6.37,0,1.06,0,0,0,11.68,1.06,0,98.77,0,1.06,0,0,0
 96-106,0,0,0,30.6,0,1.09,0,2.19,2.19,0,0,7.65,0,1.09,1.09,0,5.46,19.67,0,0,161.74,0,2.19,0,0,1.09
108-118,0,0,0,24.51,0,0,0.77,2.3,3.83,0,0,6.89,0.77,1.53,5.36,0,3.83,9.96,0,0,168.51,0,0,0.77,0.77,0
120,0,0,0,17.64,0,1.96,1.96,1.96,0,0,0,3.92,0,3.92,1.96,0,1.96,7.84,0,0,156.78,0,0,0,0,0
