stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,2.63,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,6.29,15.73,0,0,0,0,0,0
 14-21,0,0,1,0,13,0,2,0,0,1,0,0,0,32,0,0,1,6,3,18,2,4,0,332,27,1,2,4,0,0
 24-34,0,0,0,2.46,6.57,0,2.46,0.82,0,2.46,0,0,0,93.58,1.64,0,0.82,13.95,0,25.45,27.91,9.03,0,297.97,67.31,0,0.82,11.49,0,0.82
 36-46,0,0,0,0.81,0.81,0,1.61,1.61,0,7.25,0.81,0,0,29,1.61,0,2.42,9.67,0,42.7,33.03,4.03,0,185.3,36.26,0,0,8.86,0,0
 48-58,0,0,0,0,4.59,0,4.59,0,0,13.77,0,0.57,0,9.18,2.3,0,1.15,3.44,0,25.82,30.99,9.18,0,56.23,10.9,0,0,8.61,0,0
 60-70,0,0,0,0,3.93,0,11.78,5.89,0,11.78,2.94,0,0,9.82,14.72,0,0.98,4.91,0,18.65,36.32,17.67,0,28.46,11.78,0,0,7.85,0.98,0
 72-82,0,0,14.72,0,17.67,0,12.76,0,0,13.74,16.69,0,0,9.82,16.69,0,1.96,3.93,0,37.3,68.72,35.34,0,25.52,6.87,0,0,2.94,2.94,0
 84-94,0,0,8.5,2.12,21.24,2.12,15.93,2.12,0,2.12,21.24,0,0,49.92,27.61,0,3.19,3.19,0,14.87,80.71,58.41,0,37.17,20.18,0,0,7.43,3.19,0
 96-106,0,0,6.56,3.28,21.86,1.09,12.02,3.28,1.09,6.56,30.6,0,2.19,27.32,38.25,4.37,0,4.37,0,19.67,123.49,71.04,0,61.2,21.86,0,0,8.74,4.37,0
108-118,0,0,3.83,2.3,16.09,0,15.32,3.83,0,7.66,16.09,0,1.53,29.87,24.51,1.53,2.3,3.06,0,29.87,81.19,49.79,0,33.7,16.85,0,0,9.19,5.36,0.77
120,0,0,3.92,0,15.68,0,11.76,3.92,0,1.96,21.56,0,1.96,25.48,15.68,0,3.92,1.96,0,25.48,50.95,58.79,0,47.03,11.76,0,0,5.88,0,0
