stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,5,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,8,0,0,0,0,0,0,2,0,3,0,0,21,0,0
 24-34,0,0,0,4.93,2.46,0,5.75,0,0.82,0,2.46,0,0,4.1,3.28,1.64,0.82,0,0,0,3.28,0.82,0,0.82,77.16,2.46,0,0,0,4.1,5.75,0,2.46,27.09,0,0,208.5,0,0
 36-46,0,0.81,0,2.42,0,0,20.14,0,0,1.61,5.64,0,0,1.61,7.25,0,1.61,0.81,0,1.61,7.25,0.81,0,1.61,116.02,0.81,1.61,0.81,0,3.22,1.61,0,0,29,0,0,159.52,0,0.81
 48-58,0,0,0,0.57,0.57,0,47.05,0.57,0,1.15,16.64,0,1.72,2.87,8.03,0.57,0.57,0,0,1.15,12.62,1.15,0.57,2.87,108.45,0.57,0,2.87,0,0.57,0.57,1.72,0,33.85,0,0,118.2,0,2.3
 60-70,0,0,0,1.96,0.98,0,157.04,0.98,0,0.98,51.04,0.98,1.96,1.96,15.7,1.96,1.96,0,0,0,24.54,1.96,0,0,161.95,0.98,0,0.98,0,4.91,0.98,1.96,0,38.28,0,0,106,0,0
 72-82,0,0,0,1.96,0,0,64.79,0,0,0,47.12,1.96,0.98,0,9.82,0,0,0.98,0,0,27.49,0.98,0.98,0.98,93.26,0,0,6.87,0,0,0,0,0,12.76,1.96,0.98,121.73,0.98,0
 84-94,0,1.06,0,3.19,1.06,2.12,54.16,0,0,0,21.24,4.25,1.06,2.12,15.93,2.12,1.06,0,3.19,0,9.56,0,1.06,2.12,49.92,2.12,0,4.25,0,5.31,4.25,2.12,0,8.5,0,0,108.33,0,0
 96-106,0,2.19,0,5.46,0,0,33.88,1.09,1.09,0,26.23,1.09,0,1.09,19.67,3.28,4.37,1.09,2.19,1.09,10.93,2.19,1.09,2.19,49.18,1.09,1.09,4.37,0,7.65,1.09,1.09,0,4.37,3.28,0,103.82,0,0
108-118,0,0,0.77,2.3,2.3,3.83,19.15,0,1.53,0,21.45,10.72,0,2.3,15.32,5.36,3.83,1.53,0,0,9.96,0.77,1.53,3.06,42.13,0,0.77,3.06,0,0,3.83,0,0,0,3.06,0,83.49,0,1.53
120,0,0,0,7.84,5.88,1.96,13.72,0,1.96,0,17.64,9.8,0,1.96,13.72,3.92,1.96,1.96,1.96,0,1.96,0,1.96,1.96,50.95,1.96,0,3.92,0,1.96,1.96,0,0,0,0,0,56.83,0,1.96
