stage,endocrine.pancreas,eye,gut,liver,melanocytes,mesenchyme,neural,periderm,pronephros,spinal.cord,xanthophores
  3-4,0,0,0,0,0,0,0,13.18,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,1,1
 24-34,0,0,0.82,0,0.82,0.82,4.93,0,0,0,0.82
 36-46,0,0.81,0,0,0.81,0,0,0,0,0,0
 48-58,0,0.57,0,0.57,0,0.57,0.57,0,0.57,0,0
 60-70,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0.98,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,1.09,0,1.09,2.19,0,0,1.09,0,0,0,0
108-118,0,0,4.6,0,0,0,1.53,0.77,0,0,0
120,0,0,7.84,1.96,0,0,0,0,0,0,0
