stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,iridophores,mesenchyme,neural,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0.82,0,0,0,0.82,2.46,0,1.64,2.46,0.82,0
 36-46,0.81,0,0,0,0,0,0,0,3.22,0.81,1.61,1.61,0,0
 48-58,0,0,0,1.72,0,0,0,0,0.57,0,0,1.15,0,0.57
 60-70,0,0.98,0,0.98,0,0,0,0,1.96,0,0,0,0,0
 72-82,0.98,0,0,5.89,0.98,0,0,1.96,0.98,0,0,0,1.96,0
 84-94,0,0,0,2.12,0,0,0,1.06,1.06,0,1.06,1.06,0,0
 96-106,0,0,1.09,4.37,0,0,0,0,3.28,0,1.09,1.09,1.09,0
108-118,0,0,0,5.36,0,0.77,0.77,0.77,0,0,0,0,0,0
120,0,0,1.96,1.96,0,0,0,3.92,0,0,0,0,0,0
