stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,28,0,0,1,0,0,0,16,171,0,0,0,0,0,34,0
 24-34,0,0,0,3.28,2.46,0,76.34,0,0,0.82,0,0,0,45.97,121.49,0,0,0,3.28,0,115.74,0
 36-46,0,0,0,0.81,1.61,0,82.18,0,0,1.61,0,0,0.81,32.23,91.85,0,0.81,0,3.22,0,125.68,0
 48-58,0.57,0,0,0,9.75,0,67.14,0,1.72,1.15,0,0,0,21.23,77.46,0,0,0,0.57,0,100.42,0.57
 60-70,0,0,0,0,14.72,0,39.26,0.98,3.93,0,0,0,0,17.67,51.04,0.98,0,0,0.98,0,34.35,0
 72-82,0,0,0,0,22.58,0,78.53,0,8.83,1.96,0,0,0,18.65,50.06,0,0,0,0,0,12.76,0.98
 84-94,1.06,0,0,0,20.18,0,64.78,0,2.12,3.19,0,1.06,0,7.43,72.22,0,0,0,0,0,13.81,0
 96-106,1.09,0,0,0,26.23,0,61.2,0,6.56,0,0,0,0,13.11,55.74,0,0,0,0,1.09,6.56,0
108-118,0.77,0,0,0,28.34,0,49.79,0,3.83,0,0.77,0,0.77,11.49,69.7,0.77,0,0,0,0,4.6,0
120,0,0,0,0,21.56,1.96,17.64,1.96,5.88,1.96,0,0,0,11.76,84.27,0,0,0,1.96,0,9.8,0
