stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,4.1,0,0,0.82,0,0.82,0,0,0,0,0,0,1.64,0,0,0.82,9.85,0,0,0,0,0,0,0.82,1.64,0.82,0,0
 36-46,0,0,7.25,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0.81,0.81,0,7.25,0.81,0,0,0,0,0.81,0,4.03,0.81,0,0
 48-58,0,0,12.05,1.15,0,0.57,0,0.57,0,0,0,0,0,0,1.15,0,0,0.57,4.02,0,0.57,0,0,0,0,0,1.15,0.57,0,0
 60-70,0,0.98,42.21,3.93,0,0,0.98,0.98,0,0,0,0,0,0,3.93,0,0,0,9.82,0,0,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0.98,255.23,8.83,1.96,0,0.98,0,0.98,0,0,0,1.96,0,6.87,0.98,0,0.98,11.78,0,0,0,0.98,0.98,0,0,0.98,2.94,0,0
 84-94,0,0,180.55,0,0,0,0,0,1.06,0,2.12,0,0,0,4.25,1.06,2.12,2.12,6.37,0,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,2.19,261.19,0,0,0,0,0,0,1.09,1.09,0,0,2.19,7.65,0,0,0,8.74,0,1.09,0,0,2.19,0,0,0,2.19,1.09,1.09
108-118,0,1.53,148.6,2.3,0,0,0.77,1.53,0,0,2.3,0.77,0,0,6.13,0.77,0.77,0,6.89,0.77,0,0,0,0,0,0,0,1.53,0,0
120,0,0,143.06,1.96,0,0,0,1.96,0,0,0,0,0,0,7.84,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,1.96,0,0
