stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1831.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,177.76,1428.2,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,79.69,12.26,0,0,30.65,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,73.6,21.03,0,84.12,0,0,0,55.2,0,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,906.91,102.52,0,0,496.83,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,66.09,0,9.44,0,75.53,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,868.56,56.65,0,0,317.84,0,0,3.15,0,25.18,0,6.29,0,0,0,0,0,0
 14-21,0,1,2,4,88,22,0,8,0,1,0,7,4,1,4,0,0,0,0,0,1,34,0,24,144,10,0,0,8,0,0,0,46,7,14,79,90,0,0,7,0,0
 24-34,0,0.82,0,1.64,33.66,4.1,0,22.16,0.82,3.28,2.46,13.95,2.46,0,4.93,0.82,0.82,0.82,0.82,1.64,1.64,77.98,0.82,33.66,279.91,12.31,2.46,3.28,0,0.82,0,0,0,4.1,1.64,17.24,116.56,0,0,48.43,0,1.64
 36-46,0,0,0,0,7.25,0,0,89.43,0,2.42,4.03,29,0,0,7.25,0,0,1.61,3.22,0,2.42,100.71,2.42,41.89,266.68,6.45,1.61,0,0,0,0.81,0,0,0.81,2.42,0,88.62,0,0,29,0,1.61
 48-58,0.57,0,0,0,8.03,0,0,79.19,0,1.15,6.31,27.54,0,0,5.74,0.57,0,0,0.57,0.57,1.15,99.27,4.02,20.66,128.53,1.15,1.15,2.87,0,1.15,0,0,0,0.57,1.15,0,59.1,0,1.72,21.8,0,2.3
 60-70,0,0,0,0,9.82,0,0,68.71,0.98,0.98,4.91,26.5,0,0,1.96,1.96,0,2.94,1.96,0.98,2.94,109.93,8.83,8.83,117.78,1.96,0.98,2.94,0,2.94,0,0,0,0,0.98,0,42.21,0,9.82,30.43,6.87,2.94
 72-82,0,0,0.98,0,7.85,0,0,24.54,0.98,2.94,4.91,32.39,2.94,0,7.85,5.89,0,2.94,0,0,0.98,119.76,14.72,10.8,73.62,0,1.96,6.87,0,3.93,0,0,0,0,0,0,4.91,0.98,12.76,45.16,12.76,0.98
 84-94,0,0,1.06,0,28.68,1.06,0,37.17,2.12,3.19,2.12,30.8,2.12,0,7.43,2.12,0,5.31,1.06,2.12,2.12,95.58,21.24,14.87,40.36,1.06,0,3.19,0,1.06,0,0,0,0,2.12,0,8.5,0,12.74,30.8,23.36,2.12
 96-106,0,0,2.19,0,10.93,1.09,0,24.04,2.19,1.09,3.28,20.76,3.28,0,2.19,6.56,1.09,0,0,0,0,56.83,16.39,8.74,48.09,1.09,2.19,8.74,0,2.19,0,0,0,0,0,0,6.56,0,12.02,27.32,16.39,0
108-118,0,0,0,0,22.21,1.53,0.77,18.38,3.06,7.66,1.53,11.49,0.77,0,3.06,8.43,0.77,6.13,3.06,0.77,1.53,42.89,9.96,9.19,49.79,0.77,0.77,3.06,0,5.36,0,0,0,0.77,0.77,0,3.83,0.77,3.83,21.45,15.32,3.83
120,0,0,0,0,15.68,0,0,15.68,1.96,3.92,7.84,11.76,1.96,0,7.84,5.88,1.96,3.92,0,0,1.96,31.36,1.96,3.92,41.16,5.88,1.96,0,0,1.96,0,0,0,1.96,0,0,3.92,0,1.96,33.32,7.84,0
