stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,105.42,3360.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0
  5-6,98.07,1115.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,28.92,2.63,0,0,18.4,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,0,44.06,0,0,0,0
 14-21,0,0,0,0,3,76,0,0,0,0,0,2,0,0,0,1,0,0,0,6,0,0,1,0,0,0,1,6,5,1,50,0
 24-34,0,0,0,0,0.82,4.1,2.46,0,0,0,0,3.28,0,0,0.82,0.82,0,0,0,5.75,0,0,3.28,0,0.82,0,0,1.64,1.64,10.67,175.66,0
 36-46,0,0,0,0,0.81,0.81,2.42,1.61,0,0,0,1.61,0,0,0,0,0.81,0,0.81,8.06,0,3.22,0.81,0,0,0,0,0,0,12.89,108.77,0
 48-58,0,0,0,0,0,0,12.05,0.57,1.15,0.57,0,3.44,0,2.3,0,2.3,0,0,0.57,17.79,0,0.57,3.44,0,0,0,0,0,0,4.02,96.97,0
 60-70,0,0,0.98,0,0,0.98,6.87,0,3.93,0,0,4.91,0,2.94,0,1.96,0,0.98,0,28.46,0,0,7.85,0,0,0,0,0,0,5.89,87.36,0
 72-82,0,0,0,0,0.98,0,16.69,0,5.89,0,0,5.89,0.98,6.87,0,5.89,0,0,0,24.54,0,4.91,16.69,0,0,0,0,0,0,0.98,148.23,0
 84-94,0,0,0,0,2.12,0,12.74,1.06,1.06,0,0,6.37,0,8.5,0,2.12,0,0,0,14.87,0,0,13.81,0,0,0,0,1.06,0,2.12,140.19,0
 96-106,0,0,0,0,1.09,2.19,12.02,0,5.46,0,0,5.46,2.19,16.39,0,1.09,0,0,1.09,17.49,0,0,19.67,0,1.09,0,0,0,0,1.09,134.42,1.09
108-118,0,0,0,0,0.77,0.77,9.19,0,2.3,0.77,0,3.06,0.77,6.89,0,2.3,0,0,0.77,10.72,0,1.53,10.72,0,0,0,0,0,0,0.77,79.66,0
120,0,0,0,0,1.96,0,5.88,0,3.92,0,0,3.92,0,3.92,1.96,0,0,0,0,13.72,0,0,13.72,0,0,0,0,0,0,0,84.27,0
