stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0.82,2.46,0,1.64,3.28,0,10.67,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,2.42,0,0.81,4.83,0,6.45,0,0.81,1.61,0,0
 48-58,0,0,0,0,0,0,2.87,0,0.57,0,0,2.3,5.16,0,1.15,8.03,0.57,8.61,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,10.8,6.87,0.98,1.96,7.85,0,25.52,0,0,1.96,0.98,0
 72-82,0,0,0,1.96,0,0,1.96,0,1.96,0,0,24.54,12.76,0.98,0.98,11.78,0.98,52.03,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,2.12,0,0,2.12,0,38.23,2.12,0,1.06,8.5,0,75.4,0,0,0,1.06,0
 96-106,0,0,0,0,3.28,0,2.19,1.09,0,2.19,2.19,71.04,8.74,1.09,0,12.02,0,96.17,0,3.28,0,0,0
108-118,0,0,0,0,0.77,0,4.6,0,0,0,0,38.3,6.89,0,0,14.55,0,68.94,0,0,0,0,0.77
120,0,0,0,0,0,0,5.88,0,0,3.92,0,35.28,1.96,0,1.96,11.76,0,84.27,0,0,1.96,0,0
