stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,2,0,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,64,0,0,1,0,0,0,1,0,0,24,0,0,0,0,1
 24-34,0.82,0.82,0,0,0.82,0,15.6,0,0.82,1.64,0,0,0,0.82,0.82,1.64,0.82,1.64,1.64,0,0,0,142.83,0,4.1,0.82,0,0,0.82,0,0,0.82,37.76,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,16.11,0,0,2.42,0,0,0,0.81,0,0,0,0.81,3.22,0,0,3.22,234.45,0,2.42,0.81,0,0,0,0,0,0,47.53,0,0,0,0,0
 48-58,0,0,0,1.15,1.72,0,83.78,0.57,0,10.9,0,1.15,0,0,1.15,0,0,0.57,12.62,0,0,0.57,283.46,0,4.59,1.72,0,0,0,0.57,0,0,49.92,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,222.81,0,0,18.65,0.98,0,0,0,0.98,2.94,0,0,8.83,0,0,1.96,544.74,0,2.94,6.87,0,0,0.98,0,0,0,65.76,0,0,0.98,0.98,0
 72-82,0,0,0,5.89,2.94,0,427.02,0,0,57.92,0,0.98,0,0,4.91,11.78,0,0,30.43,0,0.98,7.85,688.14,0,10.8,12.76,0,0,6.87,0,0,0,52.03,6.87,0,1.96,0.98,4.91
 84-94,0,0,0,5.31,2.12,0,373.84,1.06,0,50.98,0,0,0,1.06,1.06,14.87,1.06,0,28.68,0,0,10.62,397.2,0,2.12,15.93,0,0,1.06,0,2.12,0,25.49,5.31,1.06,1.06,0,0
 96-106,0,2.19,0,9.84,4.37,0,338.78,1.09,0,51.36,1.09,0,1.09,1.09,1.09,25.14,1.09,1.09,26.23,0,0,8.74,359.55,1.09,15.3,17.49,0,0,1.09,0,2.19,0,13.11,13.11,0,0,1.09,0
108-118,0,0,0,5.36,2.3,0.77,242.81,0,1.53,38.3,0,0,1.53,0.77,2.3,13.02,0.77,0,19.15,0,0,12.26,506.3,0,7.66,13.79,0,0.77,2.3,0,0.77,0,12.26,8.43,0,0.77,1.53,0
120,0,0,0,3.92,1.96,0,143.06,0,1.96,13.72,1.96,0,0,0,0,7.84,0,0,13.72,3.92,0,9.8,450.75,0,1.96,5.88,0,0,1.96,0,0,0,5.88,1.96,0,0,0,1.96
