stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,13,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,49,1,5,0,1,0,63,0,0,14,0,0
 24-34,0,1.64,0,0,4.93,0,0,0.82,0,0,0,0,0,0,0.82,0,2.46,0,1.64,174.84,0,3.28,0,0,0.82,68.95,0,0,9.03,0,0
 36-46,0,1.61,0,0,13.7,0,0.81,0.81,0,0,0,0,0,0,0,0.81,2.42,0,0.81,405.25,1.61,0.81,0,0,0,105.54,0,0,1.61,0,0
 48-58,0,3.44,0.57,0,139.43,0,0,5.74,0,0.57,0,0.57,0,0,0,0,8.03,0,1.15,478.55,0.57,5.16,0,0,0,70.58,0,0,0.57,0,0
 60-70,0,1.96,0,0,439.72,0.98,0,1.96,0,0,0.98,0,0,2.94,0,0,8.83,0,0,382.79,0,7.85,0,0,0,12.76,0,0,0.98,0,0
 72-82,0,2.94,0,0,387.76,0,1.96,19.63,0,0.98,1.96,0,0.98,5.89,0,0,10.8,0,0,302.35,0.98,24.54,0.98,0,0,6.87,5.89,0,0.98,0,0
 84-94,0,8.5,0,0,402.51,1.06,0,6.37,0,0,0,0,0,7.43,0,0,9.56,0,1.06,149.75,0,16.99,1.06,0,0,7.43,25.49,2.12,3.19,1.06,0
 96-106,0,7.65,1.09,0,204.36,0,0,3.28,2.19,0,1.09,1.09,1.09,13.11,1.09,0,6.56,0,1.09,127.86,0,37.16,1.09,0,0,1.09,72.13,0,1.09,1.09,0
108-118,0,4.6,0.77,0,104.17,0,0,5.36,0,0,0.77,0,0,6.89,0.77,0,3.06,0.77,0,117.19,0,26.81,1.53,0,0,2.3,77.36,0,0,0,1.53
120,0,0,0,1.96,82.31,0,0,1.96,0,0,0,0,0,3.92,0,0,5.88,0,1.96,111.71,0,39.2,0,0,0,0,17.64,0,1.96,0,0
