stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,4,0,5,22,0,0,1,0,0,0,3,6,2,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0.82,8.21,0,0,0,0,0,0,0,0.82,3.28,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,1.61,0,0,0,0,0.81,0,0,0,8.06,0,4.03,5.64,0,0,0,0,0,0,0,0,3.22,0,0.81,0,0
 48-58,0,0,0,0,0,0,5.16,0,0.57,1.72,0,0,0.57,0.57,0,7.46,0,1.15,4.59,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,2.94,0,0.98,4.91,0,0,0,0,0.98,17.67,0.98,0.98,4.91,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,23.56,0,0,3.93,0,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,2.12,1.06,3.19,5.31,0,0,0,0,1.06,13.81,0,3.19,5.31,0,0,0,0,2.12,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,2.19,0,3.28,8.74,1.09,0,0,0,0,13.11,0,2.19,3.28,0,0,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0.77,2.3,4.6,0,0,0,0.77,0,15.32,1.53,1.53,2.3,0,0,0,0,2.3,0,0,0,0.77,0.77,0,0,0
120,0,0,0,0,0,0,0,1.96,1.96,9.8,0,0,0,0,1.96,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
