stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,1,0,2,1,2,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0,12.31,0,0.82,0,0,1.64,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,12.09,0,0,0.81,0,2.42,0,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,4.59,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0.57,0,3.44,0,0.57,0,0,3.44,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,0,6.87,0,0.98,0.98,0.98,0.98,0,0.98,0,0,0,0,7.85,0,0,7.85,0,0,0,0,6.87,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,3.93,0,0.98,1.96,0,0,0.98,0,7.85,0,0,2.94,0,0.98,0,0,5.89,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,0,3.19,1.06,0,1.06,0,1.06,0,0,5.31,0,2.12,0,0,28.68,0,1.06,0,1.06,0,0,2.12
 96-106,1.09,0,1.09,0,0,1.09,0,0,0,1.09,0,0,1.09,0,0,1.09,0,1.09,1.09,1.09,4.37,0,0,0,0,8.74,0,1.09,0,0,1.09,0,0
108-118,0,0,3.06,0,0.77,2.3,0,0.77,0,2.3,1.53,0,2.3,0,0,0,0,0.77,1.53,0,6.13,0,0,1.53,0,24.51,0,0,0,0,1.53,0.77,2.3
120,0,1.96,5.88,0,1.96,0,1.96,0,0,0,1.96,0,1.96,1.96,1.96,0,1.96,5.88,0,0,3.92,1.96,0,0,0,15.68,0,3.92,0,1.96,0,0,0
