stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1660.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,367.78,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,34,1,0,30,0,1,0,11,2,1,2,0,2,4,1,1,32,19,0,0,15,72,13,0,1,3,0,1,1,5,10,2,39,0,0,9,0,55
 24-34,0,0,0,1.64,20.52,0.82,0,108.35,0,3.28,0.82,12.31,0,0,7.39,4.1,4.1,17.24,0,0.82,105.89,46.79,0,0,18.88,192.08,4.1,0,2.46,0,0.82,4.1,0,0,9.85,2.46,59.92,0,0,20.52,0,183.87
 36-46,0,0,0,0,3.22,0,0,72.51,0.81,0,0,11.28,0,0,10.47,4.03,0,31.42,0,0.81,108.77,45.92,0,0.81,8.06,62.84,0.81,0,0,0,0,3.22,0.81,0,2.42,0,25.78,0,0.81,15.31,0,150.66
 48-58,0,0,0,0,4.59,0,0,60.82,0,1.15,2.3,13.2,0,0,1.15,8.61,0,60.25,0.57,0.57,86.07,32.71,0,3.44,3.44,32.13,0,0,1.15,0,0.57,0.57,0,0,1.15,0,18.36,0,0,10.33,0,184.77
 60-70,0,0,0.98,0,5.89,0,0,68.71,0,0,0.98,27.48,0,0,1.96,15.7,0,105.02,0.98,0,56.93,48.09,0,4.91,3.93,28.46,0,0,0.98,0,0.98,2.94,0,0,2.94,0,10.8,0,3.93,5.89,0.98,166.86
 72-82,0,0,0,0,2.94,0.98,0,76.57,0,0,0.98,45.16,1.96,0,0.98,23.56,2.94,118.78,2.94,2.94,53.01,66.75,0,11.78,6.87,35.34,0,0,0.98,0,2.94,4.91,0,0,4.91,0,8.83,0.98,2.94,19.63,4.91,170.81
 84-94,0,0,0,0,14.87,1.06,0,142.31,0,6.37,0,28.68,7.43,0,3.19,39.3,3.19,150.81,0,3.19,88.15,40.36,1.06,5.31,3.19,24.43,0,0,2.12,0,2.12,5.31,0,0,10.62,0,9.56,0,2.12,22.3,4.25,120.01
 96-106,0,0,0,0,9.84,2.19,1.09,102.73,0,1.09,2.19,28.41,5.46,0,2.19,54.64,6.56,145.35,0,6.56,65.57,55.74,0,6.56,4.37,31.69,1.09,2.19,2.19,0,4.37,13.11,0,0,6.56,0,17.49,0,1.09,30.6,5.46,134.42
108-118,0,0,0,0,14.55,0.77,0,98.04,0.77,3.83,2.3,23.74,3.06,0,0.77,39.83,9.96,195.32,0,10.72,81.96,52.85,0,7.66,3.06,33.7,0,0.77,3.06,0,4.6,9.96,0,0,6.89,0,4.6,0,3.06,16.85,2.3,143.24
120,0,0,0,0,35.28,0,0,43.12,0,7.84,0,11.76,13.72,0,0,45.08,5.88,113.67,0,9.8,37.24,39.2,0,3.92,0,19.6,0,0,0,0,5.88,19.6,0,0,11.76,0,7.84,0,0,15.68,0,56.83
