stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0
  5-6,24.52,986.87,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,18.39,0,0,12.26,49.04,0,0,0,0,0,0
  7-9,13.14,34.17,65.72,0,0,49.95,0,0,0,23.66,0,0,0,0,0,0,0,749.18,0,0,149.84,0,0,0,0,0,0,0
 10-12,0,15.73,3.15,0,0,56.65,0,0,0,3.15,0,0,0,0,0,0,0,239.17,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,1,0,2,0,0,0
 24-34,0,0,0,0,0,3.28,0,0.82,0,0,0,0,0,0,0,0,0.82,21.34,0.82,0,0,0,0,0,4.1,0,0.82,0
 36-46,0,0,0,0,0,1.61,0,4.83,0,0,0.81,0,0,0,0,0,0,29.81,0,1.61,0,0,0,0,4.03,0,0,2.42
 48-58,0,0,0,0,0,2.3,0,6.31,0,0,0,0,0,0.57,0.57,0,0,8.61,0,0,0,0,0,0.57,0.57,0,0,2.87
 60-70,0,0,0,0,0,1.96,0,3.93,0,0,0,0,0,0,0.98,0,0,4.91,0.98,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.93,0.98,0,5.89,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.25,2.12,0,1.06,0,0,0,0,0,1.06,0,0,3.19,0,1.06,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,0,2.19,2.19,0,1.09,0,0,0,0,0,0,0,0,0,2.19,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,2.3,6.13,0,0.77,0,0,0,0,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,1.96
