stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,54.18,0.82,0,0,0,0.82,19.7,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,0,184.5,0,0,0,0,1.61,36.26,0,0
 48-58,0,0,0,0,0.57,0,30.99,0,0,0,5.74,0,0,0,0,0,0,4.02,0,0,0,271.98,0,0,0,0,0.57,41.89,0,0
 60-70,0,0,0,0,0.98,0,95.21,0,0.98,0,4.91,0,0,0,0,0.98,0,4.91,0,0.98,0,372.98,0,0,0,0,2.94,36.32,0,0
 72-82,0,0,0,0,2.94,0.98,175.72,0,0,0,11.78,0,0,0,0,0,0,3.93,0,0,0,340.64,0,0.98,0,0,0,23.56,0,0
 84-94,0,0,0,0,4.25,0,107.27,0,0,1.06,6.37,0,1.06,0,0,0,0,4.25,0,0,3.19,143.38,1.06,0,0,1.06,3.19,7.43,0,1.06
 96-106,0,0,0,0,4.37,2.19,90.71,0,0,0,10.93,0,0,0,1.09,0,2.19,7.65,1.09,0,3.28,162.83,1.09,1.09,0,0,5.46,6.56,1.09,0
108-118,0,0,0.77,0,3.06,1.53,47.49,0,0,0,6.89,0.77,0,0.77,0,0,0,3.06,0.77,0,0,140.17,1.53,0.77,0,0,1.53,3.83,0,0
120,0,0,0,0,5.88,0,47.03,1.96,0,0,3.92,0,0,0,0,0,0,3.92,0,0,0,172.46,0,0,0,0,1.96,3.92,0,0
