stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,12,3,0,2,0,0,1,2,0,0,0,0,0,3,0,3,50,0,0,0,1,0,0,9,0,5,20,0,0,0,0
 24-34,0,0,0,0,0,7.39,0,0.82,0.82,0,0.82,0,0,1.64,0,4.93,0,1.64,43.51,0.82,0.82,0,0,0,0,0,0,0,10.67,0,1.64,0,0
 36-46,0,0,1.61,0,0,5.64,0.81,0,0,0,0.81,0,0,0,0.81,1.61,0.81,3.22,29,0,0,0,0,0,1.61,0,0.81,0,8.06,0,0,0,0
 48-58,0,0,0,0,0,10.33,0,0.57,1.72,0,0.57,0.57,0.57,0,0,6.89,0,0.57,20.66,0.57,0.57,1.15,0,0,0,0,0,0,2.87,0,1.15,0,0.57
 60-70,0,0,1.96,0,0,6.87,0,0,4.91,0.98,0,0,0,0,0,7.85,0.98,0.98,21.59,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,10.8,0,0.98,7.85,0,0,0.98,0,0,0,5.89,1.96,0.98,20.61,0,0,0,0,0.98,0,0,0,0,1.96,0,1.96,0,0
 84-94,0,0,1.06,0,0,4.25,0,0,2.12,1.06,0,0,0,0,0,9.56,0,1.06,6.37,0,0,2.12,0,0,2.12,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,2.19,0,0,4.37,1.09,0,2.19,1.09,0,0,0,0,0,12.02,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,1.53,2.3,0,1.53,3.83,0,0,0,0,0,0,8.43,0.77,3.06,11.49,0,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0.77
120,0,0,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,3.92,0,1.96,25.48,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
