stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0.82,0,1.64,0,0,9.03,0.82,60.74,0,0,0,0,0,3.28,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,0,8.06,0,78.15,0,0,0,1.61,0,2.42,0,0
 48-58,0,0,0,3.44,0,0,0.57,0,0,0,1.15,0,0,8.03,0,61.97,0.57,0,0,0,0,2.3,0,0
 60-70,0,0,0,3.93,0,0,0,0,0,0,3.93,0,0,10.8,0,69.69,0,0,0,0,0,0.98,0,0
 72-82,0,0.98,0,7.85,0,0,0,0,0,0.98,1.96,0,0.98,9.82,0,131.54,0,0,0,0,0,2.94,0,0.98
 84-94,0,1.06,0,0,1.06,0,0,0,0,1.06,2.12,0,0,6.37,0,131.69,0,0,0,1.06,0,0,1.06,0
 96-106,0,1.09,0,3.28,0,0,3.28,1.09,1.09,0,0,1.09,0,8.74,1.09,230.59,0,0,0,0,0,0,0,0
108-118,0,1.53,1.53,3.06,0,0,0,0,0,0,1.53,0,0,3.83,0,140.17,0,0,0.77,0,0,0.77,2.3,0
120,0,0,0,1.96,0,0,0,0,1.96,0,3.92,0,0,1.96,0,111.71,0,0,0,0,0,0,0,0
