stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,7.39,0.82,0,0,0.82,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,7.25,1.61,0,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0.57,0,14.35,0.57,0,0,0.57,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,23.56,0.98,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,26.5,0.98,0.98,0.98,1.96,0,0,0,0,0,1.96,0,1.96
 84-94,0,0,0,0,0,1.06,0,0,55.23,1.06,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,38.25,3.28,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,29.87,2.3,0,0.77,3.06,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,45.08,0,0,0,3.92,0,0,0,1.96,0,0,1.96,0
