stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,16.42,9.03,4.1,0,0,0,5.75,4.93,0,0,1.64,0
 36-46,0,0,0,3.22,0,0.81,0,0,0,0,0,37.06,11.28,4.83,0,0,0,0.81,0,0.81,0,0.81,0
 48-58,0,0,1.15,1.15,0,3.44,0,0,0,0.57,0,47.05,8.03,6.31,0,0,0,1.72,0,1.72,0,0.57,0
 60-70,0,0,0.98,3.93,0,1.96,0,0,0,0,0,47.11,5.89,3.93,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0.98,0.98,1.96,0.98,6.87,2.94,0.98,0,0,0,78.53,7.85,2.94,0,0,0.98,0,0,0,0,0.98,0
 84-94,1.06,0,4.25,5.31,0,2.12,2.12,0,0,0,0,54.16,7.43,4.25,0,0,1.06,0,0,1.06,0,0,1.06
 96-106,0,0,1.09,3.28,0,0,0,0,1.09,0,1.09,38.25,1.09,6.56,0,0,2.19,0,0,0,1.09,1.09,0
108-118,0,0,0.77,1.53,0,2.3,0,0,0,0,0,45.96,7.66,0,0.77,0,1.53,0.77,0,0,0,0,0.77
120,0,0,0,3.92,0,1.96,1.96,0,0,0,0,52.91,11.76,3.92,0,1.96,0,0,0,0,0,1.96,0
