stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,3.28,0.82,0,0,9.03,0,0,0,0,0.82,0,0,0,0,0.82,0,0,10.67,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0.81,0.81,0,0,11.28,0,0,0,0,0,0,0,0,0,0.81,0,0,18.53,0,0,0,0,0,0,0.81,0,0,0.81
 48-58,0,5.16,0,0,0,46.48,0,0,1.15,0,0,0,0,0,0,0,0,0.57,14.35,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0.98,0,0,0,463.28,0,0,0,0,0,0,0,0,0,1.96,0,0,35.33,0,0,0,0,0.98,0,3.93,0,0,0
 72-82,0,5.89,4.91,0.98,0,1259.47,0.98,0.98,12.76,0,0,0.98,0,0.98,0,10.8,0.98,0.98,107,0,0,0,0,0,0,6.87,0,0.98,0
 84-94,0,0,10.62,0,0,949.46,1.06,0,15.93,2.12,0,1.06,0,0,2.12,3.19,0,0,54.16,1.06,0,0,0,0,0,3.19,1.06,0,1.06
 96-106,0,1.09,3.28,3.28,0,869.91,1.09,0,12.02,1.09,0,1.09,1.09,0,1.09,10.93,0,1.09,50.27,0,1.09,1.09,0,2.19,1.09,1.09,1.09,1.09,0
108-118,0,0,4.6,0.77,0.77,598.98,0,0,6.13,0,0,0.77,0,0,2.3,5.36,0.77,0,45.19,0,0.77,0,0,2.3,0,0,0,1.53,0
120,0,0,3.92,1.96,0,627.13,0,0,7.84,1.96,0,0,1.96,0,1.96,5.88,0,3.92,47.03,0,0,0,0,0,0,0,0,0,3.92
