stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,122.59,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,47.32,0,0,0,18.4,0,94.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,0,6.29,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,157.35,6.29,0,0,50.35,0,66.09,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,125,2,0,1,0,0,0,0,7,0,0,15,1,2,0,8,5,3,34,2,1,56,0,0,646,1,1,0,4,5,0,0,0,0,0
 24-34,0,0.82,0,155.14,0,0,1.64,0.82,0,1.64,0,4.1,0,0,49.25,25.45,0.82,0.82,5.75,16.42,4.1,50.89,0,23.8,82.09,0,0,776.53,0,0,0.82,0.82,8.21,0,0,0.82,0,0
 36-46,0,0,0,83.79,0.81,0,7.25,3.22,0,0,0,0,0,0,18.53,16.11,0,0,1.61,12.09,0,41.89,0,12.89,52.37,0,0,795.2,0,0,0,0,12.09,0,0,0.81,0,0.81
 48-58,0,0,0,47.63,0,0,7.46,4.02,0,1.72,0,12.62,0,0,3.44,13.77,0,0,4.02,9.18,1.15,40.74,0,6.89,35,0,0,405.68,0,0,0,0,6.89,0,0,2.3,0,1.15
 60-70,0,0,0,50.06,0,0,10.8,4.91,0,0.98,0,8.83,0.98,0,14.72,11.78,0,0,10.8,5.89,0.98,22.58,0,8.83,24.54,0,0,363.16,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,1.96,0,72.64,0.98,0,16.69,2.94,0.98,1.96,11.78,3.93,0,0.98,24.54,29.45,0.98,0,15.71,13.74,0,63.81,0,9.82,62.83,0,0.98,381.87,0,0,0,0,4.91,0.98,0,0.98,0,1.96
 84-94,0,0,0,127.44,2.12,0,6.37,31.86,0,1.06,6.37,8.5,0,1.06,52.04,40.36,0,0,15.93,26.55,1.06,30.8,0,20.18,75.4,0,0,1167.18,0,0,0,0,2.12,12.74,0,1.06,0,0
 96-106,0,3.28,0,146.44,5.46,0,19.67,20.76,1.09,6.56,17.49,0,1.09,0,61.2,79.78,1.09,0,7.65,19.67,2.19,43.71,1.09,37.16,99.45,0,1.09,703.79,0,0,0,0,2.19,10.93,0,0,1.09,0
108-118,0,0.77,0.77,155.49,2.3,0.77,12.26,39.83,0,6.89,22.98,0,0,0,62.81,48.26,2.3,0,9.96,26.04,0,45.96,1.53,22.98,98.81,0,0,791.24,0,0,0,0,0,14.55,0.77,0.77,0,0
120,0,0,0,97.99,1.96,0,3.92,11.76,0,3.92,17.64,0,0,1.96,21.56,31.36,0,0,5.88,17.64,0,37.24,0,13.72,56.83,0,0,313.57,0,0,0,0,0,1.96,0,0,0,0
