stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,10.51,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,2.63,0,0,39.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,12.59,0,0,66.09,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,55,5,22,0,0,0,5,2,0,0,0,2,0,1,0,14,0,0,12,168,1,1,3,8,0,2,34,1,44,69,0,0,2,0
 24-34,0,0,0,4.1,22.98,0,31.19,0,2.46,0,7.39,0.82,0,0.82,0,0.82,0,2.46,0,19.7,0,0,8.21,220.81,0.82,4.93,4.93,0,0,10.67,0.82,1.64,13.95,54.18,0,0,9.03,0
 36-46,0,0,0,0,4.83,0,21.75,0.81,2.42,0.81,7.25,0.81,0,0,0,0,0,0,0,12.09,0,0.81,0.81,92.65,0,1.61,1.61,0,0,7.25,0,1.61,0,19.34,0,0,1.61,0
 48-58,0,0,0,0,4.59,0,21.23,0.57,2.3,1.15,6.89,0.57,0,0,0,0,0,0,0,13.2,0.57,1.72,2.3,32.13,0,0.57,1.15,0,0,5.16,0,0,0,11.48,0,0,0.57,0.57
 60-70,0,0,0.98,0,8.83,0,25.52,0,0.98,0,8.83,1.96,0,0,0.98,0,1.96,1.96,0.98,12.76,0,2.94,2.94,26.5,0.98,0.98,0.98,0,0,2.94,0,0,0,3.93,0,0,0,0
 72-82,0,0,0.98,0,9.82,2.94,36.32,0.98,0.98,3.93,22.58,3.93,0.98,0.98,3.93,0,0,3.93,0.98,35.34,0,0,2.94,33.38,0,3.93,2.94,0,0,9.82,0,0,0,2.94,0.98,4.91,3.93,0
 84-94,0,0,0,0,9.56,2.12,8.5,0,1.06,0,4.25,2.12,0,1.06,1.06,1.06,1.06,0,1.06,9.56,0,1.06,3.19,10.62,0,1.06,2.12,0,0,9.56,0,0,0,1.06,0,0,2.12,0
 96-106,0,0,1.09,0,7.65,2.19,8.74,0,1.09,0,4.37,2.19,0,0,3.28,1.09,4.37,0,1.09,7.65,1.09,1.09,1.09,10.93,0,3.28,2.19,0,0,13.11,0,2.19,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0,7.66,0.77,3.83,0,1.53,0.77,1.53,1.53,0,0,1.53,0.77,3.06,0.77,0.77,8.43,0.77,0,0,10.72,2.3,3.06,1.53,0,0.77,4.6,0,0,0,1.53,0.77,0,2.3,0
120,0,0,1.96,0,13.72,3.92,1.96,0,0,0,3.92,3.92,0,0,3.92,1.96,0,0,1.96,1.96,1.96,0,5.88,15.68,0,0,0,0,1.96,13.72,0,1.96,0,3.92,0,0,0,0
