stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,9.44,0,0,15.73,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,40,3,0,2,0,1,0,1,1,1,0,1,0,0,0,0,8,0,0,7,19,70,0,1,3,0,0,1,3,2,25,7,12,0,0,4,0,3
 24-34,0,0,0,0.82,59.92,0.82,0,8.21,1.64,7.39,0.82,5.75,0,4.1,0.82,0.82,4.1,4.1,0,0,24.63,0.82,0,27.09,51.71,20.52,2.46,1.64,0,0,0,0,0,2.46,22.98,13.13,18.06,0,0,13.13,0,18.88
 36-46,0,0,0,0.81,21.75,0,0,4.83,4.03,2.42,0.81,4.83,0,0.81,0,0,0.81,2.42,0.81,0,36.26,0,0.81,13.7,24.98,16.11,1.61,0.81,0,0,2.42,0,0,7.25,7.25,0.81,14.5,0,0,8.86,0,12.09
 48-58,0.57,0,0,0,11.48,0,0,6.31,2.87,5.16,4.59,10.33,0.57,2.3,0,0,1.15,4.02,0,1.15,43.61,1.15,0.57,9.18,24.1,13.77,0,5.74,0,0,1.15,0,0,3.44,0.57,0,10.9,0,0.57,9.75,0,18.36
 60-70,0,0,0,0,14.72,0,0,4.91,0,4.91,3.93,24.54,2.94,0.98,0,3.93,3.93,3.93,1.96,0,80.48,0,0.98,6.87,32.39,21.59,0.98,0,0,1.96,0,0,0,3.93,0.98,0,15.7,0,0.98,4.91,0,8.83
 72-82,0,0,1.96,0,21.6,0,0,13.74,1.96,8.83,2.94,42.21,11.78,3.93,0,4.91,2.94,13.74,3.93,1.96,124.67,0,6.87,5.89,34.36,15.71,0.98,4.91,0,0.98,2.94,0,0,6.87,0,0,5.89,0,6.87,18.65,2.94,11.78
 84-94,0,0,0,0,45.67,1.06,1.06,16.99,1.06,8.5,1.06,28.68,25.49,3.19,0,9.56,7.43,7.43,0,3.19,77.53,0,6.37,5.31,26.55,21.24,0,7.43,0,5.31,7.43,0,0,18.05,0,0,5.31,2.12,2.12,9.56,4.25,3.19
 96-106,0,0,0,0,30.6,0,0,8.74,0,12.02,2.19,30.6,32.79,4.37,0,2.19,0,7.65,3.28,2.19,56.83,0,4.37,4.37,25.14,20.76,3.28,4.37,0,3.28,6.56,0,0,8.74,2.19,0,9.84,0,3.28,12.02,5.46,10.93
108-118,0,0,0.77,0,45.96,0.77,1.53,10.72,0,14.55,2.3,22.21,46.72,3.06,0,8.43,6.13,6.13,4.6,2.3,52.09,0,3.83,11.49,22.98,32.94,2.3,9.19,0,2.3,3.06,0,0,6.89,3.83,0,2.3,0,7.66,10.72,3.83,10.72
120,0,0,0,0,45.08,0,0,3.92,1.96,3.92,1.96,21.56,35.28,0,0,7.84,1.96,0,1.96,1.96,33.32,1.96,0,9.8,19.6,33.32,0,1.96,0,0,5.88,0,0,13.72,1.96,0,1.96,1.96,3.92,9.8,3.92,9.8
